S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5836175.0,SURENDRA PRATAP CONTRACTOR,INR,"2,255,238.862",Block Development Officer,Internal,,Manoj Kumar,04-Feb-2026 07:59 PM,finsummary_2049076.pdf (198.09 KB),Commissioner Rural Development UP||JDC Agra||CDO Mathura||DDO Mathura,2026_RDUP_1109513_2,"Memo/Acc./Ni.Su./2025-26, dt. 02.01.2026",Vikash Khand Nandgaon ke gram kharot mai baliya thok mai chaupal ka nirman karya.,Technical,Technical Bid Open,Manoj Kumar,02-Feb-2026 08:13 PM,,Finance,Financial Bid Open,Manoj Kumar,04-Feb-2026 10:36 AM,,BOQ Comparative Chart,Block Development Officer,Internal,,Manoj Kumar,03-Feb-2026 10:03 AM,04-Feb-2026 10:00 AM,techsummary_2049076.pdf (200.13 KB),04-Feb-2026,"INR 2,255,238.862",90.0,Manoj Kumar,11-Feb-2026 08:54 PM,Financial_Evaluetion_2.pdf (282.00 KB),1,5835824,M/S Govind Ram Contractor And Suppliers,01-Feb-2026 03:23 PM,Rejected-Finance,Due to L2,04-Feb-2026 07:59 PM,AOC,Commissioner Rural Development UP||JDC Agra||CDO Mathura||DDO Mathura,"Memo/Acc./Ni.Su./2025-26, dt. 02.01.2026",2026_RDUP_1109513_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,533.0,"Block Development Officer, Nandgaon",Mathura,No,Vikash Khand Nandgaon ke gram kharot mai baliya thok mai chaupal ka nirman karya.,Vikash Khand Nandgaon ke gram kharot mai baliya thok mai chaupal ka nirman karya.,Please refer Tender documents. ,NA ,"22,56,000",Civil Works,NA ,Tender,90.0,90.0,Mathura,281001.0,NA ,NA ,NA ,Office Of The Block Development Officer. Nandgaon,No ,No,Block Development Officer. Nandgaon,Office Of The Block Development. Nandgaon,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"46,000",No,fixed,,"Block Development Officer, Nandgaon",Mathura,27-Jan-2026 09:00 AM,02-Feb-2026 11:00 AM,27-Jan-2026 09:00 AM,02-Feb-2026 09:00 AM,NA ,NA ,27-Jan-2026 09:00 AM,02-Feb-2026 09:00 AM,04-Feb-2026 10:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5835907,SHRI BIHARI JI CONTRACTOR,01-Feb-2026 03:32 PM,Rejected-Finance,Due to L3,04-Feb-2026 07:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SS - Small Savings Instrument,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5836175,SURENDRA PRATAP CONTRACTOR,01-Feb-2026 04:54 PM,Accepted-AOC,AOC,11-Feb-2026 08:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,AOC
