Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
25-Feb-2026,"INR 386,238.1",15.0,Kalpana Yadav,28-Feb-2026 08:01 PM,panwah.pdf (582.00 KB),1.0,5851685.0,DINESH CHANDRA,INR,"386,238.1","U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||DD, etah",2026_UPIDC_1109765_2,02/EE/2025-26,Silt Clearance of Panwah Drain From km. 0.000 to km 20.500,1,5855342,DAKSHA CONTRACTOR,09-Feb-2026 11:13 AM,Rejected-AOC,L2,28-Feb-2026 08:01 PM,Technical,Admitted,Kalpana Yadav,12-Feb-2026 08:59 PM,,As per file attached,Internal,,Kalpana Yadav,13-Feb-2026 03:38 PM,finsummary_2054339.pdf (33.54 KB),Finance,Admitted,Kalpana Yadav,13-Feb-2026 01:35 PM,,BOQ Comparative Chart,As per file attached,Internal,,Kalpana Yadav,12-Feb-2026 11:54 PM,13-Feb-2026 11:00 AM,techsummary_2054339.pdf (33.54 KB),AOC,02-Feb-2026 05:00 PM,09-Feb-2026 01:00 PM,02-Feb-2026 05:00 PM,09-Feb-2026 11:00 AM,NA ,NA ,02-Feb-2026 06:00 PM,09-Feb-2026 11:00 AM,13-Feb-2026 11:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||DD, etah",02/EE/2025-26,2026_UPIDC_1109765_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer DD Etah,"Office,Executive Engineer DD Etah","18,040",No,fixed,,Nil,Nil,766.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,Silt Clearance of Panwah Drain From km. 0.000 to km 20.500,Silt Clearance of Panwah Drain From km. 0.000 to km 20.500,Please refer Tender documents. ,NA ,"9,02,000",Civil Works - Others,NA ,Tender,90.0,NA ,Etah,207001.0,NA ,NA ,NA ,"Office,Executive Engineer DD Etah",No ,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,2,5851685,DINESH CHANDRA,09-Feb-2026 10:36 AM,Accepted-AOC,L1,28-Feb-2026 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,5855442,kashmeera construction,09-Feb-2026 10:56 AM,Rejected-AOC,L8,28-Feb-2026 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,5852685,M/d VIPIN KUMAR,08-Feb-2026 03:01 PM,Rejected-AOC,L5,26-May-2026 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,5842080,M/S A.S. CONSTRUCTION,06-Feb-2026 10:47 AM,Rejected-Technical,Work Name not Mentioned in Bid Validity Stamp,12-Feb-2026 11:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,5854969,M/s Rakesh Kumar Thekedar,09-Feb-2026 08:09 AM,Rejected-AOC,L3,28-Feb-2026 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,5855338,M/s SAVITRI DEVI CONTRACTOR,09-Feb-2026 10:50 AM,Rejected-AOC,L6,28-Feb-2026 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,5853204,M/s VINAY KUMAR CONTRACTOR,08-Feb-2026 10:36 PM,Rejected-AOC,L7,28-Feb-2026 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,5845303,Pl Engineering & construction,05-Feb-2026 06:01 PM,Rejected-Technical,IDT and Bid Validity Stamps of other Lot,12-Feb-2026 11:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,5847221,Rajendra and Brothers,06-Feb-2026 02:35 PM,Rejected-AOC,L9,28-Feb-2026 08:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,5844706,SHREE HARI BUILDERS,05-Feb-2026 02:51 PM,Rejected-Technical,IDT 3 Not Compelete as per prescribed format,12-Feb-2026 11:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
