S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5880869.0,M/S RAM KISHORE AGRAWAL,INR,"1,170,086",Directorate of Local Bodies UP||Nagar Palika Parishad Atrauli Aligarh,2026_DOLBU_1112135_1,1479-04/2025-26/04-02-2026,Pink Toilet construction work,1,5874951,Chhatrapal singh,15-Feb-2026 06:05 PM,Rejected-AOC,L2,25-Feb-2026 12:55 AM,24-Feb-2026,"INR 1,170,086",30.0,Rohit Shukla,25-Feb-2026 12:55 AM,4.pdf (55.00 KB),this tender issue to Ms. Ram Kishor Agrawal according of lowest price,Amita Varun,Internal,EO Amita Varun Rohit Shukla JE Rajkumar verma Account in charge,Rohit Shukla,21-Feb-2026 09:07 PM,23-Feb-2026 10:00 AM,techsummary_2056750.pdf (64.39 KB),Finance,three bid accepted in this process,Rohit Shukla,24-Feb-2026 10:55 PM,finance_2056750.pdf,BOQ Comparative Chart,Amita varun,Internal,Amita Varun EO Rohit Shukla JE Rajkumar Verma Account Incharge,Rohit Shukla,24-Feb-2026 11:33 AM,finsummary_2056750.pdf (64.90 KB),Technical,three bidder participated in this tender,Rohit Shukla,21-Feb-2026 08:40 PM,technical_2056750.pdf,AOC,Pink Toilet construction work,Pink Toilet construction work,Pink Toilet construction work ,NA ,"11,77,149",Civil Works,NA ,Tender,60.0,60.0,Atrauli,202280.0,NA ,NA ,NA ,NPP Atrauli,No ,No,Directorate of Local Bodies UP||Nagar Palika Parishad Atrauli Aligarh,1479-04/2025-26/04-02-2026,2026_DOLBU_1112135_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EO,NPP Atrauli,1.0,Change of Date,Date,,"1,389",EO,NPP Atrauli,No,1.0,Fee/PreQual/Technical,.pdf,fee,1,DD - Demand Draft,"23,543",No,fixed,,EO,NPP Atrauli,04-Feb-2026 10:00 AM,20-Feb-2026 11:00 AM,04-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,04-Feb-2026 10:00 AM ,18-Feb-2026 05:00 PM ,04-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,23-Feb-2026 10:00 AM,AOC
,,,,,,,,,2,5861135,M/S NAUBAT SINGH THEKEDAR,11-Feb-2026 03:41 AM,Rejected-AOC,L3,25-Feb-2026 12:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,change TB,Technical Bid,,,,,,,,.pdf,tb,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5880869,M/S RAM KISHORE AGRAWAL,16-Feb-2026 06:25 PM,Accepted-AOC,L1,25-Feb-2026 12:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,AOC
