Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,nit,10-Jan-2026 09:00 AM,28-Jan-2026 11:00 AM,10-Jan-2026 09:05 AM,27-Jan-2026 06:00 PM,NA ,NA ,10-Jan-2026 09:10 AM,27-Jan-2026 06:00 PM,29-Jan-2026 04:40 PM,Directorate of Local Bodies UP||Nagar Panchayat Khutar Shahjahanpur,272/NPK/2025-26Dt-08-01-2026,2026_DOLBU_1105201_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EO Khutar,Nagar Panchayat Khutar,"1,28,811",No,fixed,,Eo,Khutar,1,SS - Small Savings Instrument,"7,552",EO,Khutar,No,Nagar Panchayat Khutar me Banda Road pr Anubhav Singh ki Dukan se Flyover ke Age Saufari Wali Puliya tak RCC Covred Nala Nirman.,Nagar Panchayat Khutar me Banda Road pr Anubhav Singh ki Dukan se Flyover ke Age Saufari Wali Puliya tak RCC Covred Nala Nirman.,Please refer Tender documents. ,NA ,"64,40,571",Civil Works,NA ,Tender,90.0,NA ,NP Khutar,242405.0,NA ,NA ,NA ,Np Khutar,No ,No,AOC,Kalpna Sharma,Internal,AnilSinghShyamSundar,Anil kumar singh,29-Jan-2026 05:37 PM,finsummary_2039256.pdf (775.33 KB),Technical,pdf,Anil kumar singh,28-Jan-2026 12:54 PM,technical_2039256.pdf,Kalpna Sharma,Internal,AnilsinghShyamSundar,Anil kumar singh,29-Jan-2026 04:35 PM,29-Jan-2026 04:40 PM,techsummary_2039256.pdf (1052.05 KB),Finance,pdf,Anil kumar singh,29-Jan-2026 05:28 PM,finance_2039256.pdf,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Panchayat Khutar Shahjahanpur,2026_DOLBU_1105201_1,272/NPK/2025-26Dt-08-01-2026,Nagar Panchayat Khutar me Banda Road pr Anubhav Singh ki Dukan se Flyover ke Age Saufari Wali Puliya tak RCC Covred Nala Nirman.,1.0,5807162.0,M/S SINGH CONSTRUCTION,INR,"6,427,689.57",1.0,5822525.0,M/S SHIV SHAKTI TRADERS,24-Jan-2026 04:06 PM,Rejected-Finance,Estimate Rate,29-Jan-2026 05:37 PM,04-Feb-2026,"INR 6,427,689.57",90.0,Anil kumar singh,06-Feb-2026 04:11 PM,wk.pdf (129.00 KB),Work Order,AOC
2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5807162.0,M/S SINGH CONSTRUCTION,15-Jan-2026 06:52 PM,Accepted-AOC,Lowest Rate,06-Feb-2026 04:11 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5822140.0,S S SINGH CONSTRUCTION PRIVATE LIMITED,24-Jan-2026 12:51 PM,Rejected-Finance,Below As Per Tender .10 Persent,29-Jan-2026 05:37 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
