S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1,5902465,09aeppv9146k2ze,20-Feb-2026 02:43 PM,Accepted-AOC,Lowest bidder,28-Feb-2026 03:22 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Golagokrannath Lakhimpur,2026_DOLBU_1109248_1,Ref 625 dated 23-1-2026,Work 2 Ref 625 dated 23-01-2026,1.0,5902465.0,09aeppv9146k2ze,INR,55.0,04-Mar-2026,INR 55,90.0,Sanjay Kumar,28-Feb-2026 03:22 PM,boq1.pdf (483.00 KB),"It is found that bidder has qualified in both Technical and Financial Evaluation. Also Quoted Lowest Bid Price, BOQ",EO,Internal,JE Accountant,Sanjay Kumar,28-Feb-2026 03:16 PM,finsummary_2048343.pdf (306.24 KB),Technical,It is found that all bidders are qualified for Technical Evaluation.,Sanjay Kumar,28-Feb-2026 02:19 PM,technical_2048343.pdf,EO,Internal,JE Accountant,Sanjay Kumar,28-Feb-2026 02:30 PM,28-Feb-2026 02:35 PM,techsummary_2048343.pdf (306.24 KB),Finance,"It is found in BOQ after evaluation of technical bid packets attached in accepted bids, Bid No. 5902465 of Ajeet Kumar Verma was lowest",Sanjay Kumar,28-Feb-2026 03:07 PM,finance_2048343.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,Work 2 Ref 625 dated 23-01-2026,Printing and Painting work,Please refer Tender documents. ,NA ,,Stationery,NA ,Tender,30.0,90.0,NPP Gola Gokarannath-Kheri,262802.0,NA ,NA ,NA ,NPP Gola Gokarannath-Kheri,No ,No,EO,NPP Gola Gokarananth- Kheri,"20,000",No,fixed,,EO,NPP Gola Gokarananth,944.0,EO,NPP Gola Gokarannath,No,Directorate of Local Bodies UP||Nagar Palika Parishad Golagokrannath Lakhimpur,Ref 625 dated 23-1-2026,2026_DOLBU_1109248_1,Yes,Open Tender,Percentage,Goods,2.0,No,No,Offline,No,No,No,1.0,Date Extened,Date,,1,DD - Demand Draft,26-Jan-2026 09:00 AM,21-Feb-2026 11:00 AM,26-Jan-2026 09:00 AM,21-Feb-2026 10:00 AM,NA ,NA ,26-Jan-2026 09:00 AM,21-Feb-2026 10:00 AM,28-Feb-2026 02:35 PM,AOC
2,5902532,m/s A.S.CONSTRUCTIONS,20-Feb-2026 03:02 PM,Rejected-Finance,Higher then L1,28-Feb-2026 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,AOC
3,5902595,M/S VIJAY PRAKASH MISHRA,20-Feb-2026 03:20 PM,Rejected-Finance,higher then L1,28-Feb-2026 03:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,AOC
