Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Atrauli Aligarh,2026_DOLBU_1112129_1,1479-02/2025-26/04-02-2026,Beautification and construction work of statues,1.0,5880766.0,M/S RAM KISHORE AGRAWAL,INR,"2,894,507",1,5880766,M/S RAM KISHORE AGRAWAL,16-Feb-2026 06:13 PM,Accepted-AOC,L1,25-Feb-2026 12:27 AM,24-Feb-2026,"INR 2,894,507",180.0,Rohit Shukla,25-Feb-2026 12:26 AM,2.pdf (56.00 KB),this tender issue to ms. Ram kishor Agrawal according of lowest price,Amita varun,Internal,Amita Varun EO Rohit Shukla JE Rajkumar Verma Account Incharge,Rohit Shukla,24-Feb-2026 11:46 PM,finsummary_2056726.pdf (65.19 KB),Technical,three bidder participated in this bid,Rohit Shukla,21-Feb-2026 08:17 PM,technical_2056726.pdf,Amita Varun,Internal,EO Amita Varun Rohit Shukla JE Rajkumar verma Account in charge,Rohit Shukla,21-Feb-2026 09:12 PM,23-Feb-2026 10:00 AM,techsummary_2056726.pdf (64.58 KB),Finance,three bidder accepted in this process,Rohit Shukla,24-Feb-2026 10:48 PM,finance_2056726.pdf,BOQ Comparative Chart,AOC,04-Feb-2026 10:00 AM,20-Feb-2026 11:00 AM,04-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,04-Feb-2026 10:00 AM ,18-Feb-2026 05:00 PM ,04-Feb-2026 10:00 AM,18-Feb-2026 05:00 PM,23-Feb-2026 10:00 AM,Directorate of Local Bodies UP||Nagar Palika Parishad Atrauli Aligarh,1479-02/2025-26/04-02-2026,2026_DOLBU_1112129_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Change of Date,Date,,EO,NPP Atrauli,Beautification and construction work of statues,Beautification and construction work of statues,Beautification and construction work of statues ,NA ,"29,09,053",Civil Works,NA ,Tender,180.0,180.0,Atrauli,202280.0,NA ,NA ,NA ,NPP Atrauli,No ,No,"3,433",EO,NPP Atrauli,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,fee,"58,181",No,fixed,,EO,NPP Atrauli,AOC
,,,,,,,,,2,5861098,M.S TRADERS,11-Feb-2026 12:53 AM,Rejected-AOC,L3,25-Feb-2026 12:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,change TB,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,.pdf,TB,,,,,,,AOC
,,,,,,,,,3,5861897,U K TRADERS,11-Feb-2026 12:34 PM,Rejected-AOC,L2,25-Feb-2026 12:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,2.0,Finance,.xls,BOQ,,,,,,,AOC
