Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Construction of store room at garage,Construction of store room at garage,Please refer Tender documents. ,NA ,"9,53,587",Civil Works,NA ,Tender,60.0,60.0,Npp Sherkot,246747.0,Npp Sherkot  ,Npp Sherkot  ,14-Jan-2026 09:00 AM ,Npp Sherkot,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,"95,359",No,percentage,10.0%,Executive Officer,Sherkot,Directorate of Local Bodies UP||Nagar Palika Parishad Sherkot Bijnor,603/15vitt/etender2025-26,2026_DOLBU_1105515_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Officer,Npp Sherkot,14-Jan-2026 09:00 AM,10-Feb-2026 10:00 AM,14-Jan-2026 09:00 AM,09-Feb-2026 05:00 PM,NA ,NA ,14-Jan-2026 09:00 AM,09-Feb-2026 05:00 PM,13-Feb-2026 02:30 PM,1.0,RTGS - RTGS Payment,1.0,Date Extend,Date,,"1,080",Executive Officer,Sherkot,No,AOC,Directorate of Local Bodies UP||Nagar Palika Parishad Sherkot Bijnor,2026_DOLBU_1105515_10,603/15vitt/etender2025-26,Construction of store room at garage,1,5846355,Iqbal Ahmad Contractor,08-Feb-2026 11:55 AM,Accepted-AOC,Accept,21-Feb-2026 04:15 PM,Krishan Murari,Internal,,Krishan Murari,20-Feb-2026 02:20 PM,finsummary_2040803.pdf (245.67 KB),Finance,Krishan Murari,Krishan Murari,20-Feb-2026 12:43 PM,finance_2040803.pdf,BOQ Comparative Chart,1.0,5846355.0,Iqbal Ahmad Contractor,INR,"950,258.394",Krishan Murari,Internal,,Veerendra kumar,13-Feb-2026 12:33 PM,13-Feb-2026 02:30 PM,techsummary_2040803.pdf (166.16 KB),Technical,Veerendra kumar,Veerendra kumar,13-Feb-2026 12:22 PM,,20-Feb-2026,"INR 950,258.394",60.0,Krishan Murari,21-Feb-2026 04:15 PM,10.pdf (660.00 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5851859,Mohammad Rafeeq Contractor,08-Feb-2026 11:41 AM,Rejected-AOC,Accept,21-Feb-2026 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,5852134,MOHD IMRAN CONTRACTOR,08-Feb-2026 01:00 PM,Rejected-AOC,Accept,21-Feb-2026 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
