Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
29-Jan-2026 10:00 AM,19-Feb-2026 12:00 PM,29-Jan-2026 10:00 AM,18-Feb-2026 05:00 PM,NA ,NA ,29-Jan-2026 10:00 AM,18-Feb-2026 05:00 PM,28-Feb-2026 01:00 PM,1,DD - Demand Draft,"1,62,000",No,fixed,,BDO ROBERTSGANJ,BDO ROBERTSGANJ SONBHADRA,BDO ROBERTSGANJ SONBHADRA,BDO ROBERTSGANJ SONBHADRA,"2,360",BDO ROBERTSGANJ,BDO ROBERTSGANJ SONBHADRA,No,ROBERTSGANJ AMBEDKAR NAGAR ME GUPTA JI KE MOD SE LEKAR DUBEY JI KE HOSPITAL TAK CC ROAD V NALI KA NIRMAN KARYA,ROBERTSGANJ AMBEDKAR NAGAR ME GUPTA JI KE MOD SE LEKAR DUBEY JI KE HOSPITAL TAK CC ROAD V NALI KA NIRMAN KARYA,Please refer Tender documents. ,NA ,"32,28,000",Civil Works - Roads,NA ,Tender,90.0,90.0,BLOCK ROBERTSGANJ,231216.0,NA ,NA ,NA ,BLOCK ROBERTSGANJ,No ,No,1.0,Fee/PreQual/Technical,.pdf,nit,Commissioner Rural Development UP||JDC Mirzapur||CDO Sonbhadra||DDO Sonbhadra||BDO Robertsganj,ltr-3437/etender/2025-26 dt-28-01-2026,2026_RDUP_1110390_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,Commissioner Rural Development UP||JDC Mirzapur||CDO Sonbhadra||DDO Sonbhadra||BDO Robertsganj,2026_RDUP_1110390_1,ltr-3437/etender/2025-26 dt-28-01-2026,ROBERTSGANJ AMBEDKAR NAGAR ME GUPTA JI KE MOD SE LEKAR DUBEY JI KE HOSPITAL TAK CC ROAD V NALI KA NIRMAN KARYA,Technical,the firms are participating for this work,SHYAM DHAR,28-Feb-2026 12:29 PM,technical_2050679.pdf,BDO ROBERTSGANJ,Internal,"bdo, accountant je mi, je red",OM PRAKASH SINGH,28-Feb-2026 03:28 PM,finsummary_2050679.pdf (264.75 KB),1.0,5856120.0,JAI SHREE MAHAKAL ENTERPRISES,INR,"3,224,476.875",1.0,5856120.0,JAI SHREE MAHAKAL ENTERPRISES,09-Feb-2026 12:55 PM,Accepted-AOC,aeeepted,28-Feb-2026 03:32 PM,28-Feb-2026,"INR 3,224,476.875",90.0,OM PRAKASH SINGH,28-Feb-2026 03:32 PM,ambedkarnagar.pdf (265.00 KB),tender goes to JAI SHREE MAHAKAL ENTERPRISES (BID ID -5856120),BDO ROBERTSGANJ,Internal,"BDO, JE MI, JE RED, ACCOUNTANT",SHYAM DHAR,28-Feb-2026 12:32 PM,28-Feb-2026 01:00 PM,techsummary_2050679.pdf (297.16 KB),Finance,three firms uploded their rates,OM PRAKASH SINGH,28-Feb-2026 03:07 PM,finance_2050679.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,5856194.0,M/s Shweta Singh,09-Feb-2026 01:06 PM,Rejected-Finance,quoted high rate than JAI SHREE MAHAKAL ENTERPRISES,28-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,5856272.0,shree krishna building material and supplier,09-Feb-2026 01:20 PM,Rejected-Finance,quoted high rate than JAI SHREE MAHAKAL ENTERPRISES,28-Feb-2026 03:28 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
