Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,997/13/NPPKHT/2025-26 DATE-16/01/2026,2026_DOLBU_1106540_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,16-Jan-2026 02:00 PM,05-Feb-2026 02:00 PM,16-Jan-2026 02:00 PM,05-Feb-2026 12:00 PM,NA ,NA ,16-Jan-2026 02:00 PM,05-Feb-2026 12:00 PM,09-Feb-2026 03:00 PM,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,WARD NO-19 MOHALLA ISLAMNAGAR ME GULSHER KE MAKAN SE DR FIROZ KE MAKAN TAK CC MARG NALI NIRMAN KARY,WARD NO-19 MOHALLA ISLAMNAGAR ME GULSHER KE MAKAN SE DR FIROZ KE MAKAN TAK CC MARG NALI NIRMAN KARY,Please refer Tender documents. ,NA ,"15,73,588",Civil Works - Roads,NA ,Tender,90.0,60.0,WORK,251201.0,NA ,NA ,NA ,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No ,No,"2,785",EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,FDR - Fixed Deposit,"1,57,359",No,percentage,10.0%,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,AOC,Technical,attandance,Rajeev Kumar,05-Feb-2026 06:43 PM,technical_2041615.pdf,CHAIRMAN EO JE,Internal,,Rajeev Kumar,16-Feb-2026 03:44 PM,finsummary_2041615.pdf (4376.44 KB),Finance,finanacal,Rajeev Kumar,13-Feb-2026 05:06 PM,finance_2041615.pdf,BOQ Comparative Chart,CHAIRMAN EO JE,Internal,CHAIRMAN EO JE,Rajeev Kumar,09-Feb-2026 12:26 PM,09-Feb-2026 03:00 PM,techsummary_2041615.pdf (4644.23 KB),16-Feb-2026,"INR 1,571,543.06",60.0,Rajeev Kumar,19-Feb-2026 02:01 PM,work13.pdf (332.00 KB),1.0,5836528.0,M/S ABBASI CONSTRUCTION,INR,"1,571,543.06",Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,2026_DOLBU_1106540_1,997/13/NPPKHT/2025-26 DATE-16/01/2026,WARD NO-19 MOHALLA ISLAMNAGAR ME GULSHER KE MAKAN SE DR FIROZ KE MAKAN TAK CC MARG NALI NIRMAN KARY,1,5835512,MAHESH KUMAR TYAGI,01-Feb-2026 12:05 PM,Rejected-AOC,above,19-Feb-2026 02:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,2.0,RTGS - RTGS Payment,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5836528,M/S ABBASI CONSTRUCTION,01-Feb-2026 07:27 PM,Accepted-AOC,below,19-Feb-2026 02:01 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5841936,M/S HARSH ASSOCIATES,04-Feb-2026 10:35 AM,Rejected-AOC,above,19-Feb-2026 02:01 PM,AOC
