Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Sherkot Bijnor,603/15vitt/etender2025-26,2026_DOLBU_1105515_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction of C C Road Drain Mohalla Chaudhriyan ward 03 Anil Gher to Servive Road Length 70 Meter,Construction of C C Road Drain Mohalla Chaudhriyan ward 03 Anil Gher to Servive Road Length 70 Meter,Please refer Tender documents. ,NA ,"12,51,180",Civil Works,NA ,Tender,60.0,60.0,Npp Sherkot,246747.0,Npp Sherkot  ,Npp Sherkot  ,14-Jan-2026 09:00 AM ,Npp Sherkot,No ,No,Executive Officer,Npp Sherkot,"1,25,118",No,percentage,10.0%,Executive Officer,Sherkot,1.0,Date Extend,Date,,"1,475",Executive Officer,Sherkot,No,1.0,RTGS - RTGS Payment,14-Jan-2026 09:00 AM,10-Feb-2026 10:00 AM,14-Jan-2026 09:00 AM,09-Feb-2026 05:00 PM,NA ,NA ,14-Jan-2026 09:00 AM,09-Feb-2026 05:00 PM,19-Feb-2026 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Krishan Murari,Internal,,Krishan Murari,20-Feb-2026 02:02 PM,finsummary_2040766.pdf (192.08 KB),Technical,summary,Veerendra kumar,13-Feb-2026 12:11 PM,,Krishan Murari,Internal,,Krishan Murari,19-Feb-2026 04:23 PM,19-Feb-2026 04:30 PM,techsummary_2040766.pdf (166.12 KB),Finance,Krishan Murari,Krishan Murari,20-Feb-2026 12:34 PM,finance_2040766.pdf,BOQ Comparative Chart,1,5849733,Mohammad Rafeeq Contractor,07-Feb-2026 03:06 PM,Rejected-AOC,Accept,21-Feb-2026 03:43 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sherkot Bijnor,2026_DOLBU_1105515_2,603/15vitt/etender2025-26,Construction of C C Road Drain Mohalla Chaudhriyan ward 03 Anil Gher to Servive Road Length 70 Meter,1.0,5849658.0,M/s Irshad khan Thekedar,INR,"1,243,663.755",20-Feb-2026,"INR 1,243,663.755",60.0,Krishan Murari,21-Feb-2026 03:43 PM,02.pdf (588.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5849658,M/s Irshad khan Thekedar,07-Feb-2026 02:43 PM,Accepted-AOC,Accept,21-Feb-2026 03:43 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5849703,M/S KHISAL AHMAD CONTRACTOR,07-May-2026 11:39 AM,Rejected-AOC,Accept,21-Feb-2026 03:43 PM,,,,,,,,,,,,,,,,AOC
