S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,RTGS - RTGS Payment,11-Feb-2026 11:16 AM,18-Feb-2026 02:00 PM,11-Feb-2026 06:55 PM,18-Feb-2026 01:00 PM,NA ,NA ,11-Feb-2026 06:55 PM,18-Feb-2026 01:00 PM,19-Feb-2026 11:16 AM,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",Construction of C.C. Road and Drain work at Vill. Richa Kasbe in Main road to Afsar House (Vidhayak Nidhi),Construction of C.C. Road and Drain work at Vill. Richa Kasbe in Main road to Afsar House (Vidhayak Nidhi),Construction of C.C. Road and Drain work at Vill. Richa Kasbe in Main road to Afsar House (Vidhayak Nidhi) ,NA ,"21,14,107",Civil Works - Roads,Const. of C.C. Road and Drain work at Richa Kasbe ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","42,300",No,fixed,,EE UPSCIDCO,BAREILLY,"1,652",EE UPSCIDCO,BAREILLY,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,1121-4/E.E. BLY/E-Tender/BLY/2025-26 Dt. 11.02.2026,2026_SCIDC_1114993_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,20-Feb-2026 02:13 PM,finsummary_2068470.pdf (750.13 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,19-Feb-2026 03:43 PM,technical_2068470.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,19-Feb-2026 03:59 PM,19-Feb-2026 04:00 PM,techsummary_2068470.pdf (266.16 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,20-Feb-2026 01:56 PM,finance_2068470.pdf,BOQ Comparative Chart,1,5891930,m i construction,18-Feb-2026 12:41 PM,Rejected-AOC,IInd Lowest Rate,20-Feb-2026 05:51 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1114993_1,1121-4/E.E. BLY/E-Tender/BLY/2025-26 Dt. 11.02.2026,Construction of C.C. Road and Drain work at Vill. Richa Kasbe in Main road to Afsar House (Vidhayak Nidhi),1.0,5880988.0,Syed Construction,INR,"2,113,684.18",20-Feb-2026,"INR 2,113,684.18",60.0,Charan Singh Arya,20-Feb-2026 05:51 PM,LOI4.pdf (774.00 KB),Total Contract Value Rs. 2113684.18,AOC
,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5880988,Syed Construction,18-Feb-2026 07:25 AM,Accepted-AOC,Ist Lowest Rate,20-Feb-2026 05:51 PM,,,,,,,,,,,,,,,,,AOC
