S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,5816226.0,A TO Z CONSTRUCTION,INR,"827,536.03",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1106176_1,075/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,"Construction work of 132.00 meter CC tiles road and drain from the house of Maulana Ahmed to the house of Raees Ahmed in village Adalpur, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",1.0,5816226.0,A TO Z CONSTRUCTION,20-Jan-2026 02:08 PM,Accepted-AOC,AMOUNT IS LOWEST,11-Feb-2026 10:42 AM,29-Jan-2026,"INR 827,536.03",60.0,Avdhesh kumar Verma,11-Feb-2026 10:42 AM,075NIT0114WOMBD.pdf (472.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,28-Jan-2026 10:37 AM,finsummary_2040906.pdf (629.29 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,23-Jan-2026 12:48 PM,technical_2040906.pdf,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,23-Jan-2026 01:06 PM,23-Jan-2026 01:10 PM,techsummary_2040906.pdf (852.48 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,28-Jan-2026 10:23 AM,,BOQ Comparative Chart,AOC,"17,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,"Construction work of 132.00 meter CC tiles road and drain from the house of Maulana Ahmed to the house of Raees Ahmed in village Adalpur, Block-Dilari, District Moradabad. (MLA-Nidhi Work)","Construction work of 132.00 meter CC tiles road and drain from the house of Maulana Ahmed to the house of Raees Ahmed in village Adalpur, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"8,27,950",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,075/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,2026_SCIDC_1106176_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,Fee,.pdf,FEE,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",14-Jan-2026 03:00 PM,21-Jan-2026 11:00 AM,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,NA ,NA ,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,23-Jan-2026 01:10 PM,AOC
,,,,,,,,,2.0,5815529.0,M/S A.H CONSTRUCTION AND DEVLOPERS,20-Jan-2026 07:36 AM,Rejected-Finance,AMOUNT IS HIGH,28-Jan-2026 10:37 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,AOC
