Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,33/MLC/Mathura/25-26,2026_SCIDC_1105350_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,New Opening Date,Date,,"15,000",No,fixed,,UPSCIDCO,MATHURA,"1,062",UPSCIDCO,MATHURA,No,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,RTGS - RTGS Payment,Executive engineer,"Ex. En. Office, H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",20-Jan-2026 12:00 PM,29-Jan-2026 01:00 PM,20-Jan-2026 12:00 PM,29-Jan-2026 12:00 PM,NA ,NA ,20-Jan-2026 12:00 PM,29-Jan-2026 12:00 PM,02-Feb-2026 05:00 PM,"INTERLOCKING ROAD FROM VIJAY SINGH HOUSE THROUGH THE TEMPLE TOWARDS MUNNA KHAN HOUSE, VILLAGE- SHAHADGARHI, BLOCK- NAUHJHIL, MATHURA","INTERLOCKING ROAD FROM VIJAY SINGH HOUSE THROUGH THE TEMPLE TOWARDS MUNNA KHAN HOUSE, VILLAGE- SHAHADGARHI, BLOCK- NAUHJHIL, MATHURA",Please refer Tender documents. ,NA ,"7,85,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,AOC,Finance,Rate of M/s JP SHAKTI CONSTRUCTION is accepted.,Sanjai Gangwar,04-Feb-2026 12:36 PM,finance_2044557.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Sanjai Gangwar,02-Feb-2026 04:58 PM,02-Feb-2026 05:00 PM,techsummary_2044557.pdf (188.03 KB),Technical,All bids are ok.,Sanjai Gangwar,02-Feb-2026 04:29 PM,technical_2044557.pdf,Executive Engineer,Internal,,Sanjai Gangwar,04-Feb-2026 01:54 PM,finsummary_2044557.pdf (461.96 KB),04-Feb-2026,"INR 784,834.37",180.0,Sanjai Gangwar,04-Feb-2026 01:56 PM,33frm.pdf (462.00 KB),1.0,5830250.0,JP SHAKTI CONSTRUCTION,INR,"784,834.37",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,2026_SCIDC_1105350_2,33/MLC/Mathura/25-26,"INTERLOCKING ROAD FROM VIJAY SINGH HOUSE THROUGH THE TEMPLE TOWARDS MUNNA KHAN HOUSE, VILLAGE- SHAHADGARHI, BLOCK- NAUHJHIL, MATHURA",1,5825491,Jagvir Construction and Supplier,26-Jan-2026 10:09 PM,Rejected-AOC,OK,04-Feb-2026 01:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5830250,JP SHAKTI CONSTRUCTION,28-Jan-2026 10:29 PM,Accepted-AOC,OK,04-Feb-2026 01:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5824222,M/s Neha Enterprises,26-Jan-2026 01:04 PM,Rejected-AOC,OK,04-Feb-2026 01:56 PM,AOC
