Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2592/EE/RED/GKP/25-26 Date 07/01/26,2026_REDUP_1110912_79,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Evaluation,"27,680",No,percentage,2.0%,Nil,Nil,EXECUTIVE ENGINEER,Vikash Bhawan,Chandauli mein Pitch Se Nishad Tole Tak CC Road Ka Nirman,Chandauli mein Pitch Se Nishad Tole Tak CC Road Ka Nirman,Please refer Tender documents. ,NA ,"13,84,000",Civil Works,NA ,Tender,90.0,90.0,GORAKHPUR,273001.0,NA ,NA ,NA ,Vikash Bhawan Gorakhpur,No ,No,1.0,SBI Bank,03-Feb-2026 09:00 AM,10-Feb-2026 09:00 AM,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 09:00 AM,09-Feb-2026 12:00 PM,15-Feb-2026 12:00 PM,812.0,Nil,Nil,No,AOC,1.0,5850206.0,H P ASSOCIATES,INR,"1,382,578",Executive Engineer,Internal,,Suresh Kumar Jaiswal,17-Feb-2026 07:49 AM,finsummary_2053242.pdf (153.00 KB),Finance,Opend,Suresh Kumar Jaiswal,16-Feb-2026 06:47 PM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE GORAKHPUR,2026_REDUP_1110912_79,2592/EE/RED/GKP/25-26 Date 07/01/26,Chandauli mein Pitch Se Nishad Tole Tak CC Road Ka Nirman,1,5850206,H P ASSOCIATES,08-Feb-2026 11:04 PM,Accepted-AOC,L1,27-Feb-2026 12:15 PM,24-Feb-2026,"INR 1,382,578",90.0,Suresh Kumar Jaiswal,27-Feb-2026 12:15 PM,bpdf.pdf (153.00 KB),Technical,opend,Suresh Kumar Jaiswal,11-Feb-2026 12:07 PM,,Executive Engineer,Internal,,Suresh Kumar Jaiswal,15-Feb-2026 11:35 AM,15-Feb-2026 12:00 PM,techsummary_2053242.pdf (200.73 KB),AOC
,,,,,,,,,,,,,,2,Finance,.xls,Financial Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5854520,M/S A.K. ENTERPRISES,09-Feb-2026 12:38 AM,Rejected-AOC,L2,27-Feb-2026 12:15 PM,,,,,,,,,,,,,,,,,,,AOC
