Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical bid document,1.0,SBI Bank,10-Jan-2026 12:00 PM,21-Jan-2026 12:30 PM,10-Jan-2026 11:24 AM,21-Jan-2026 12:00 PM,NA ,NA ,10-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,24-Jan-2026 12:00 PM,788.0,Nil,Nil,No,"17,900",No,fixed,,Nil,Nil,Gramsabha Joginiya me Prithviraj Chauhan ki smiriti duwar_18,Gramsabha Joginiya me Prithviraj Chauhan ki smiriti duwar_18,Please refer Tender documents. ,NA ,"8,91,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1006/RED/Etender(26)/2025-26, Dt. 22.12.2025",2026_REDUP_1104830_18,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,5813785.0,Wallfort International Service Private Ltd,INR,"1,050,518.02",Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,24-Jan-2026 05:18 PM,finsummary_2038419.pdf (45.41 KB),Finance,Financial bid open,Sujit Kumar Sinha,24-Jan-2026 03:44 PM,finance_2038419.pdf,BOQ Comparative Chart,1,5811349,M/s Vaishnavi Construction,20-Jan-2026 04:07 PM,Rejected-Finance,High,24-Jan-2026 05:18 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1104830_18,"1006/RED/Etender(26)/2025-26, Dt. 22.12.2025",Gramsabha Joginiya me Prithviraj Chauhan ki smiriti duwar_18,28-Jan-2026,"INR 1,050,518.02",180.0,Sujit Kumar Sinha,06-Feb-2026 04:32 PM,18.pdf (45.00 KB),Technical,Technical bid open,Sujit Kumar Sinha,21-Jan-2026 03:03 PM,technical_2038419.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,23-Jan-2026 03:34 PM,24-Jan-2026 12:00 PM,techsummary_2038419.pdf (394.48 KB),AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5813785,Wallfort International Service Private Ltd,20-Jan-2026 04:56 PM,Accepted-AOC,AOC,06-Feb-2026 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
