S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,DD - Demand Draft,"1,655",UPSCIDCOLTD,Etawah,No,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document","27,000",No,fixed,,UPSCIDCOLTD,Etawah,Executive Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,1107/EE(E)/LKO/Etawah/25-26,2026_SCIDC_1106046_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,10 KW off Grid solar Power Plant for Main Building ATS Nagla Heeralal at Etawah.,10 KW off Grid solar Power Plant for Main Building ATS Nagla Heeralal at Etawah.,10 KW off Grid solar Power Plant for Main Building ATS Nagla Heeralal at Etawah. ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Etawah,206001.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,16-Jan-2026 05:00 PM,22-Jan-2026 02:00 PM,16-Jan-2026 05:00 PM,22-Jan-2026 12:00 PM,NA ,NA ,16-Jan-2026 05:00 PM,22-Jan-2026 12:00 PM,03-Feb-2026 03:05 PM,AOC,Technical,Attached,Ram Nayan,03-Feb-2026 02:59 PM,technical_2040696.pdf,Shri Munivir Singh Rajput,Internal,Attached,Ram Nayan,05-Feb-2026 01:12 PM,finsummary_2040696.pdf (324.50 KB),Finance,Attached,Ram Nayan,05-Feb-2026 12:58 PM,finance_2040696.pdf,BOQ Comparative Chart,Shri Munivir singh Rajput,Internal,Attached,Ram Nayan,03-Feb-2026 03:02 PM,03-Feb-2026 03:05 PM,techsummary_2040696.pdf (235.38 KB),16-Feb-2026,"INR 1,358,732.5",90.0,Ram Nayan,21-Feb-2026 04:02 PM,Karyadesh.pdf (1527.00 KB),Attached,1.0,5818654.0,Gaurav Construction,22-Jan-2026 11:05 AM,Accepted-AOC,Lowest Rate Accepted,21-Feb-2026 04:02 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1106046_1,1107/EE(E)/LKO/Etawah/25-26,10 KW off Grid solar Power Plant for Main Building ATS Nagla Heeralal at Etawah.,1.0,5818654.0,Gaurav Construction,INR,"1,358,732.5",AOC
2,FDR - Fixed Deposit,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5818305.0,Vinayak Builders and Suppliers,21-Jan-2026 09:24 PM,Rejected-Finance,Quoted Amount Rate in High,05-Feb-2026 01:12 PM,,,,,,,,,,AOC
3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
