Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,27/EE/RED/2025-26,2026_REDUP_1103438_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction work of tin shed near Devi Ji temple in village Dhanaura Kalan of development block Jalaun,Construction work of tin shed near Devi Ji temple in village Dhanaura Kalan of development block Jalaun,Please refer Tender documents. ,NA ,"19,21,000",Civil Works - Buildings,NA ,Rate Contract,90.0,90.0,ORAI,285001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT JALAUIN AT ORAI,1,Fee/PreQual/Technical,.pdf,A.D,"39,000",No,fixed,,Nil,Nil,02-Jan-2026 05:00 PM,08-Jan-2026 12:30 PM,02-Jan-2026 05:00 PM,08-Jan-2026 12:00 PM,NA ,NA ,02-Jan-2026 05:00 PM,08-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,1.0,SBI Bank,854.0,Nil,Nil,No,AOC,sheelendra singh,Internal,SHARAD SRIVASTAVA ANUP MISHRA,Sheelendra Singh,18-Feb-2026 05:24 PM,finsummary_2034832.pdf (428.24 KB),Technical,technical cover to be opened,SHARAD SRIVASTAVA,13-Jan-2026 04:30 PM,technical_2034832.pdf,sheelendra singh,Internal,Anup Kumar Mishra,Sheelendra Singh,16-Jan-2026 01:30 PM,21-Jan-2026 12:00 PM,techsummary_2034832.pdf (331.37 KB),Finance,FINANCIAL COVER TO BE OPENED,Sheelendra Singh,18-Feb-2026 05:22 PM,finance_2034832.pdf,BOQ Comparative Chart,1,5792194,M/S PREM NARAYAN,06-Jan-2026 04:38 PM,Rejected-Finance,2ND,18-Feb-2026 05:24 PM,1.0,5792110.0,M/S SRI KARAS DEV CONTRACTOR AND SUPPLIER,INR,"1,919,599.53",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1103438_1,27/EE/RED/2025-26,Construction work of tin shed near Devi Ji temple in village Dhanaura Kalan of development block Jalaun,18-Feb-2026,"INR 1,919,599.53",90.0,Sheelendra Singh,18-Feb-2026 05:26 PM,DD.pdf (428.00 KB),PHOTO UPLODE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5792110,M/S SRI KARAS DEV CONTRACTOR AND SUPPLIER,06-Jan-2026 04:02 PM,Accepted-AOC,ACCEPTED,18-Feb-2026 05:26 PM,,,,,,,,,,,,,,,,,AOC
