Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,03/E-Tender/2025-26 dt. 01.01.2026,2026_PWDBL_1105077_13,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,All documents scan original copies,EE Maintenance Division 2 (Civil) PWD Lucknow,EE Maintenance Division 2 (Civil) PWD Lucknow,10-Jan-2026 09:00 AM,15-Jan-2026 12:30 PM,10-Jan-2026 09:00 AM,15-Jan-2026 12:00 PM,NA ,NA ,10-Jan-2026 09:00 AM,15-Jan-2026 12:00 PM,860.0,Nil,Nil,No,"Vikramaditya Marg sthit Awas No.-3 me Mukhya Bhawan ki Chhat se aa rahi seelan ko rokne hetu chhat per waterproofing karna, mukhya bhawan ke sabhi darwazon /khidkiyon me polish karna, shatigrast kota stone ki marammat va polish karna/ mukhya bhawan","Vikramaditya Marg sthit Awas No.-3 me Mukhya Bhawan ki Chhat se aa rahi seelan ko rokne hetu chhat per waterproofing karna, mukhya bhawan ke sabhi darwazon /khidkiyon me polish karna, shatigrast kota stone ki marammat va polish karna/ mukhya bhawan",Please refer Tender documents. ,NA ,"7,90,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Lucknow,226001.0,EE Maintenance Division 2 (Civil) PWD Lucknow  ,EE Maintenance Division 2 (Civil) PWD Lucknow  ,12-Jan-2026 12:00 PM ,EE Maintenance Division 2 (Civil) PWD Lucknow,No ,No,1.0,SBI Bank,"79,000",No,fixed,,Nil,Nil,AOC,Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Maintenance Division 2 (Civil) PWD Lucknow,2026_PWDBL_1105077_13,03/E-Tender/2025-26 dt. 01.01.2026,"Vikramaditya Marg sthit Awas No.-3 me Mukhya Bhawan ki Chhat se aa rahi seelan ko rokne hetu chhat per waterproofing karna, mukhya bhawan ke sabhi darwazon /khidkiyon me polish karna, shatigrast kota stone ki marammat va polish karna/ mukhya bhawan",1,5802591,M/S A.V.S. TRADERS,14-Jan-2026 07:04 PM,Accepted-AOC,Financial bid is accepted at the Price Rs. 770081.00 By Executive Engineer Maintenance Division 2 (Civil) PWD Lucknow,12-Feb-2026 12:53 PM,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,12-Feb-2026 12:47 PM,finsummary_2039189.pdf (3516.48 KB),1.0,5802591.0,M/S A.V.S. TRADERS,INR,"770,081",12-Feb-2026,"INR 770,081",30.0,DILIP KUMAR,12-Feb-2026 12:53 PM,279.pdf (1521.00 KB),AOC for Acceptance No 279 date 09.02.2026,Finance,Evaluation Letter,DILIP KUMAR,19-Jan-2026 04:40 PM,finance_2039189.pdf,BOQ Comparative Chart,EE Maintenance Division 2 (Civil) PWD Lucknow,Internal,EE Maintenance Division 2 (Civil) PWD Lucknow EE Maintenance Division 1 (Civil) PWD Lucknow,DILIP KUMAR,12-Feb-2026 12:41 PM,techsummary_2039189.pdf (3516.48 KB),AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,5802594,M/S KARMA ENTERPRISES,14-Jan-2026 07:39 PM,Rejected-Finance,Financial bid Rejected due to L2,12-Feb-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
