Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Renewal of Surjipatti to Malikapur link road,Renewal of Surjipatti to Malikapur link road,Please refer Tender documents. ,NA ,"10,20,000",Civil Works,NA ,Tender,90.0,60.0,ghaziur,233001.0,NA ,NA ,NA ,offfice of ee cd3 pwd gzp,No ,No,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 3, PWD Ghazipur",124/10A dt 17-01-2026,2026_CEUVZ_1110973_74,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,EE cd3 Pwd gzp,offfice of ee cd3 pwd gzp,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,"1,02,000",Yes,fixed,,Nil,Nil,854.0,Nil,Nil,No,02-Feb-2026 12:00 PM,09-Feb-2026 12:30 PM,02-Feb-2026 12:00 PM,09-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 12:00 PM,09-Feb-2026 12:00 PM,17-Feb-2026 05:30 PM,AOC,Finance,Admitted,Kiran Pal,26-Feb-2026 02:29 PM,,BOQ Comparative Chart,Kiran Pal,Internal,,Kiran Pal,26-Feb-2026 02:34 PM,finsummary_2053328.pdf (191.68 KB),1.0,5851257.0,M/S VSY ENTERPRISES,INR,"685,329.74","Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 3, PWD Ghazipur",2026_CEUVZ_1110973_74,124/10A dt 17-01-2026,Renewal of Surjipatti to Malikapur link road,1,5851257,M/S VSY ENTERPRISES,08-Feb-2026 09:59 PM,Accepted-AOC,L1,27-Feb-2026 04:32 PM,27-Feb-2026,"INR 685,329.74",60.0,Kiran Pal,27-Feb-2026 04:32 PM,74_11.pdf (192.00 KB),Technical,Admitted,Kiran Pal,17-Feb-2026 12:07 PM,,Kiran Pal,Internal,,Kiran Pal,17-Feb-2026 04:36 PM,17-Feb-2026 05:30 PM,techsummary_2053328.pdf (2377.43 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,5850358,VINA CONSTRUCTION,09-Feb-2026 06:58 AM,Rejected-Finance,L2,26-Feb-2026 02:34 PM,,,,,,,,,,,,,,,,,,,AOC
