S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5827665.0,JINDAL ASSOCIATES,28-Jan-2026 05:31 PM,Rejected-AOC,REJECTED L3 BIDDER,19-Feb-2026 03:41 PM,"Office of The Director Ground Water Department||Superintending Engineer Bareilly||Sr. Geophysicist, GWD Dn- Agra (Geophysical)",2026_UPGWD_1108198_1,30/ATALRWH/AGRA/2025-26,"Construction/Installation work of Roof Top Rain Water Harvesting Structures on buildings of BDO Office, Nauhjheel, District- Mathura Under Atal Bhujal Yojna.",1.0,5829543.0,VRIDHHI ENTERPRISES,INR,"789,155.93",13-Feb-2026,"INR 789,155.93",30.0,Shashank Singh,19-Feb-2026 03:41 PM,AOCATALRWH30.pdf (305.00 KB),CONTRACT VALUE INCLUDING GST,SHASHANK SHEKHAR SINGH,Internal,ANKUR SRIVASTAVA NAURATAN KAMAL AVADHESH KUMAR BHASKER SHAILENDRA KUMAR VINAYAK TRIPATHI,Shashank Singh,11-Feb-2026 12:56 PM,finsummary_2045703.pdf (1055.10 KB),Technical,BIDSUMMARY,Shashank Singh,30-Jan-2026 02:27 PM,technical_2045703.pdf,SHASHANK SHEKHAR SINGH,Internal,ANKUR SRIVASTAVA NAURATAN KAMAL AVADHESH KUMAR BHASKER SHAILENDRA KUMAR VINAYAK TRIPATHI,Shashank Singh,30-Jan-2026 02:47 PM,30-Jan-2026 03:30 PM,techsummary_2045703.pdf (1474.39 KB),Finance,FINANCIALMINUTES,Shashank Singh,11-Feb-2026 12:00 PM,finance_2045703.pdf,BOQ Comparative Chart,AOC,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,As per tender notice,"Construction/Installation work of Roof Top Rain Water Harvesting Structures on buildings of BDO Office, Nauhjheel, District- Mathura Under Atal Bhujal Yojna.","Construction/Installation work of Roof Top Rain Water Harvesting Structures on buildings of BDO Office, Nauhjheel, District- Mathura Under Atal Bhujal Yojna.",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,40.0,DIV AGRA,282010.0,NA ,NA ,NA ,AGRA,No ,No,22-Jan-2026 10:00 AM,30-Jan-2026 11:30 AM,22-Jan-2026 10:00 AM,30-Jan-2026 11:00 AM,22-Jan-2026 10:00 AM ,24-Jan-2026 10:00 AM ,22-Jan-2026 10:00 AM,30-Jan-2026 11:00 AM,30-Jan-2026 03:30 PM,SENIOR GEOPHYSICIST,295 Jaipur House Colony Agra,"Office of The Director Ground Water Department||Superintending Engineer Bareilly||Sr. Geophysicist, GWD Dn- Agra (Geophysical)",30/ATALRWH/AGRA/2025-26,2026_UPGWD_1108198_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"16,000",No,fixed,,Nil,Nil,AOC
2.0,5830573.0,M/S ANUBHAV INDIA COMPANY,30-Jan-2026 05:17 AM,Rejected-AOC,REJECTED L2 BIDDER,19-Feb-2026 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Tender Document signed by Authorised signatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,5829543.0,VRIDHHI ENTERPRISES,28-Jan-2026 04:56 PM,Accepted-AOC,ACCEPTED L1 BIDDER,19-Feb-2026 03:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Any other document required as per tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
