Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||ID, etawah",2026_UPIDC_1107696_2,05/EE/2025-26,Repairing of V.R.B. at Km. 3.000 of Behrampur drain in Distt. Kanpur Nagar,1.0,5824767.0,M/S HARSH CONSTRUCTIONS,INR,"711,736.44",1,5826197,M/S GARIB NAWAJ AND COMPANY,27-Jan-2026 11:15 AM,Rejected-Finance,L4,19-Feb-2026 04:08 PM,19-Feb-2026,"INR 711,736.44",45.0,Ramesh Chandra,19-Feb-2026 04:17 PM,behrampur.pdf (244.00 KB),Ramesh Chandra,Internal,,Ramesh Chandra,19-Feb-2026 11:14 AM,finsummary_2044371.pdf (123.76 KB),Technical,04 Bid Admitted and 02 Bid Not Admitted,Ramesh Chandra,05-Feb-2026 05:09 PM,,Ramesh Chandra,Internal,,Ramesh Chandra,05-Feb-2026 05:26 PM,07-Feb-2026 03:00 PM,techsummary_2044371.pdf (123.76 KB),Finance,All Admitted,Ramesh Chandra,07-Feb-2026 03:54 PM,,BOQ Comparative Chart,AOC,Repairing of V.R.B. at Km. 3.000 of Behrampur drain in Distt. Kanpur Nagar,Repairing of V.R.B. at Km. 3.000 of Behrampur drain in Distt. Kanpur Nagar,Please Refer Tender Document ,NA ,"9,20,000",Civil Works - Others,NA ,Tender,90.0,45.0,Kanpur Nagar,208001.0,NA ,NA ,NA ,Etawah,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,20-Jan-2026 12:00 PM,27-Jan-2026 01:00 PM,20-Jan-2026 12:00 PM,27-Jan-2026 12:00 PM,NA ,NA ,20-Jan-2026 12:00 PM,27-Jan-2026 12:00 PM,07-Feb-2026 03:00 PM,"92,000",No,fixed,,Nil,Nil,"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Kanpur||ID, etawah",05/EE/2025-26,2026_UPIDC_1107696_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER IRRIGATION DIVISION NEAR NUMISE CHAURAHA ETAWAH,266.0,Nil,Nil,No,AOC
,,,,,,,,,2,5825985,M/S G S D B K TRADERS,27-Jan-2026 08:42 AM,Rejected-AOC,L3,19-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5824767,M/S HARSH CONSTRUCTIONS,27-Jan-2026 07:48 AM,Accepted-AOC,L1,19-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5826358,M/S R D CONSTRUCTION SUPPLIER,27-Jan-2026 11:31 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2026 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5824745,M/S SONI CONTRACTOR,27-Jan-2026 11:35 AM,Rejected-AOC,L2,19-Feb-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5825692,R.B Solutions,27-Jan-2026 12:21 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,05-Feb-2026 05:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
