Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Feb-2026,"INR 816,429.64",180.0,Pramod Kumar,17-Feb-2026 04:10 PM,fr40.pdf (854.00 KB),U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,2026_SCIDC_1111812_1,40/MLC/Mathura/25-26,"INTERLOCKING ROAD FROM RANJEET SINGH HOUSE TO MATA MANDIR, VILLAGE- SARDAR GARH, BLOCK- MANT, MATHURA",1.0,5855547.0,Poonam contractor and traders,INR,"816,429.64",1,5854048,Jagvir Construction and Supplier,09-Feb-2026 11:03 AM,Rejected-AOC,rejected,17-Feb-2026 04:10 PM,Finance,Rate of M/s Poonam contractor and traders is accepted.,Sanjai Gangwar,17-Feb-2026 03:27 PM,finance_2055494.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Pramod Kumar,13-Feb-2026 03:57 PM,13-Feb-2026 04:00 PM,techsummary_2055494.pdf (447.71 KB),Technical,All bids are ok,Sanjai Gangwar,13-Feb-2026 03:38 PM,technical_2055494.pdf,Executive Engineer,Internal,,Pramod Kumar,17-Feb-2026 03:56 PM,finsummary_2055494.pdf (854.11 KB),AOC,03-Feb-2026 01:00 PM,09-Feb-2026 01:00 PM,03-Feb-2026 01:00 PM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 01:00 PM,09-Feb-2026 12:00 PM,13-Feb-2026 04:00 PM,"INTERLOCKING ROAD FROM RANJEET SINGH HOUSE TO MATA MANDIR, VILLAGE- SARDAR GARH, BLOCK- MANT, MATHURA","INTERLOCKING ROAD FROM RANJEET SINGH HOUSE TO MATA MANDIR, VILLAGE- SARDAR GARH, BLOCK- MANT, MATHURA",Please refer Tender documents. ,NA ,"8,17,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,"17,000",No,fixed,,UPSCIDCO,MATHURA,Executive engineer,"Ex. En. Office, H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.",1.0,RTGS - RTGS Payment,"1,062",UPSCIDCO,MATHURA,No,1,Fee/PreQual/Technical,.pdf,NIT,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Agra,40/MLC/Mathura/25-26,2026_SCIDC_1111812_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,2,5855547,Poonam contractor and traders,09-Feb-2026 11:29 AM,Accepted-AOC,accepted,17-Feb-2026 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
