Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1112694_1,1198/SE(E)/LKO/Amb/25-26,10mtr Highmast Light work at Various Blocks at Distt. Ambedkar Nagar. (Vidhayak Nidhi work),1.0,5860749.0,R. D. CONSTRUCTION COMPANY,INR,"2,750,844",1,5860831,M/S VK CONSTRUCTION CO.,10-Feb-2026 10:40 PM,Rejected-Finance,Quoted Amount Rate in High,20-Feb-2026 12:04 PM,20-Feb-2026,"INR 2,750,844",90.0,Ram Nayan,21-Feb-2026 04:33 PM,1112694.pdf (8440.00 KB),Attached,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,20-Feb-2026 12:04 PM,finsummary_2058395.pdf (69.64 KB),Technical,Attached,Ram Nayan,18-Feb-2026 06:42 PM,technical_2058395.pdf,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,18-Feb-2026 06:45 PM,18-Feb-2026 06:50 PM,techsummary_2058395.pdf (69.64 KB),Finance,Attached,Ram Nayan,20-Feb-2026 11:58 AM,finance_2058395.pdf,BOQ Comparative Chart,AOC,Superintending Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",05-Feb-2026 03:00 PM,13-Feb-2026 02:00 PM,05-Feb-2026 03:00 PM,13-Feb-2026 12:00 PM,NA ,NA ,05-Feb-2026 03:00 PM,13-Feb-2026 12:00 PM,18-Feb-2026 06:50 PM,10mtr Highmast Light work at Various Blocks at Distt. Ambedkar Nagar. (Vidhayak Nidhi work),10mtr Highmast Light work at Various Blocks at Distt. Ambedkar Nagar. (Vidhayak Nidhi work),10mtr Highmast Light work at Various Blocks at Distt. Ambedkar Nagar. (Vidhayak Nidhi work) ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Ambedkar Nagar,224129.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,1,FDR - Fixed Deposit,"1,655",UPSCIDCOLTD,Ambedkar Nagar,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,1198/SE(E)/LKO/Amb/25-26,2026_SCIDC_1112694_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"55,000",No,fixed,,UPSCIDCOLTD,Ambedkar Nagar,1,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Doucment",AOC
,,,,,,,,,2,5860749,R. D. CONSTRUCTION COMPANY,10-Feb-2026 10:40 PM,Accepted-AOC,Accepted,21-Feb-2026 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
