Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,1083/RED/Accounts/25-26 Date 08-12-25,2026_REDUP_1103272_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"28,700",No,fixed,,Nil,Nil,766.0,Nil,Nil,No,01-Jan-2026 06:00 PM,08-Jan-2026 12:30 PM,02-Jan-2026 11:00 AM,08-Jan-2026 12:00 PM,NA ,NA ,02-Jan-2026 11:00 AM,08-Jan-2026 12:00 PM,27-Jan-2026 06:00 PM,"EE, RED, Saharanpur","O/o EE, RED, Saharanpur Vikas Bhawan, SRE.",1.0,SBI Bank,Gram saleeri mein mahendra ke ghar avam govind ke ghar se pritam ke ghar tak do sambandhit gali sahit cc road avam naali nirmaan,Gram saleeri mein mahendra ke ghar avam govind ke ghar se pritam ke ghar tak do sambandhit gali sahit cc road avam naali nirmaan,Gram saleeri mein mahendra ke ghar avam govind ke ghar se pritam ke ghar tak do sambandhit gali sahit cc road avam naali nirmaan ,NA ,"14,31,000",Civil Works,NA ,Tender,90.0,NA ,Saharanpur,247001.0,"O/o EE, RED, Saharanpur Vikas Bhawan, SRE. ","O/o EE, RED, Saharanpur Vikas Bhawan, SRE. ",05-Jan-2026 12:00 PM ,Executive Engineer,No ,No,1.0,Fee/PreQual/Technical,.pdf,Technical bids,AOC,1.0,5791630.0,RAJ KUMAR CONTRACTOR,INR,"1,207,808.81",Ravi,Internal,Pavan kumar rajender kumar,SANDEEP KUMAR AGARWAL,18-Feb-2026 09:51 AM,finsummary_2034701.pdf (98.16 KB),Finance,ok,SANDEEP KUMAR AGARWAL,18-Feb-2026 09:48 AM,finance_2034701.pdf,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SAHARANPUR,2026_REDUP_1103272_10,1083/RED/Accounts/25-26 Date 08-12-25,Gram saleeri mein mahendra ke ghar avam govind ke ghar se pritam ke ghar tak do sambandhit gali sahit cc road avam naali nirmaan,1.0,5791613.0,ARCHANA CONSTRUCTION,08-Jan-2026 12:13 AM,Rejected-Finance,L2,18-Feb-2026 09:51 AM,Ravi,Internal,Pawan Kumar R k trainiya,SANDEEP KUMAR AGARWAL,27-Jan-2026 04:09 PM,27-Jan-2026 06:00 PM,techsummary_2034701.pdf (98.16 KB),18-Feb-2026,"INR 1,207,808.81",90.0,SANDEEP KUMAR AGARWAL,18-Feb-2026 09:53 AM,dd.pdf (98.00 KB),ok,Technical,ok,SANDEEP KUMAR AGARWAL,27-Jan-2026 03:34 PM,technical_2034701.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,5791630.0,RAJ KUMAR CONTRACTOR,07-Jan-2026 11:29 PM,Accepted-AOC,L1,18-Feb-2026 09:53 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
