Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow",2026_UPIDC_1111865_3,06/EE/2025-26,Lot-03- Rejuvenation work of Barrel No 10 at km 0.525 of Right kukrail Bund,1.0,5850538.0,Ram Asrey,INR,"1,053,763.2",1,5858139,M/S J.M.V. CONSTRUCTION,10-Feb-2026 10:31 AM,Rejected-Finance,II,13-Feb-2026 05:24 PM,20-Feb-2026,"INR 1,053,763.2",90.0,Mukesh Kumar Vaish,24-Feb-2026 11:47 AM,AOC03.pdf (682.00 KB),AOC,Mukesh Kumar Vaish,Internal,"Committee Members Vishal Porwal, Executive Engineer , Y. P. Yadav, D.A.O.",Mukesh Kumar Vaish,11-Feb-2026 03:59 PM,13-Feb-2026 04:00 PM,techsummary_2055755.pdf (208.79 KB),Finance,Financial,Mukesh Kumar Vaish,13-Feb-2026 05:09 PM,finance_2055755.pdf,BOQ Comparative Chart,Mukesh Kumar Vaish,Internal,"Vishal Porwal, Executive Engineer , Y. P. Yadav, D.A.O.",Mukesh Kumar Vaish,13-Feb-2026 05:24 PM,finsummary_2055755.pdf (208.79 KB),Technical,Technical,Mukesh Kumar Vaish,11-Feb-2026 03:49 PM,technical_2055755.pdf,AOC,854.0,Nil,Nil,No,EXECUTIVE ENGINEER,"OFFICE OF EXECUTIVE ENGINEER L.D-2,.S.C","29,020",Yes,percentage,2.0%,Nil,Nil,Lot-03- Rejuvenation work of Barrel No 10 at km 0.525 of Right kukrail Bund,Rejuvenation work of Barrel No 10 at km 0.525 of Right kukrail Bund,Refer tender Document ,NA ,"14,51,000",Civil Works - Buildings,NA ,Rate Contract,90.0,90.0,Lucknow,226010.0,NA ,NA ,NA ,"OFFICE OF EXECUTIVE ENGINEER L.D-2,.S.C",No ,No,1.0,SBI Bank,04-Feb-2026 12:00 PM,10-Feb-2026 11:10 AM,04-Feb-2026 12:00 PM,10-Feb-2026 11:00 AM,NA ,NA ,26-May-2026 11:13 AM,10-Feb-2026 11:00 AM,26-May-2026 11:13 AM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||VI Circle Irrigation Works, Lucknow||LD-2SC, lucknow",06/EE/2025-26,2026_UPIDC_1111865_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,AOC
,,,,,,,,,2,5857572,M/S MAA SHREE CONSTRUCTION,09-Feb-2026 07:38 PM,Rejected-Finance,V,13-Feb-2026 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Doc,AOC
,,,,,,,,,3,5853169,m/s mohd. zamil,09-Feb-2026 10:10 PM,Rejected-Finance,IV,13-Feb-2026 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,4,5858495,M/s RATHAUR CONSTRUCTION,10-Feb-2026 08:40 AM,Rejected-Finance,III,13-Feb-2026 05:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5850538,Ram Asrey,10-Feb-2026 09:13 AM,Accepted-AOC,i,24-Feb-2026 11:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
