Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2009 /EE SKN /E-Tender /Vidhayak Nidhi Harraiya Basti /2025-26 Dated 19-01-2026,2026_SCIDC_1107608_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of yatri Rest work at Gram Panchayat Ahirauli Me Panchayat Bhawan Ke Bagal Block Parsarampur Distt Basti. (Vidhayak Nidhi Harraiya Basti),Construction of yatri Rest work at Gram Panchayat Ahirauli Me Panchayat Bhawan Ke Bagal Block Parsarampur Distt Basti. (Vidhayak Nidhi Harraiya Basti),As Given in NIT ,NA ,"12,71,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,NA ,NA ,NA ,UPSCIDCO BASTI,No ,No,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti-272001","25,500",No,fixed,,UPSCIDCO,BASTI,1,Fee/PreQual/Technical,.pdf,NIT,20-Jan-2026 09:00 AM,27-Jan-2026 02:00 PM,20-Jan-2026 09:00 AM,27-Jan-2026 01:00 PM,20-Jan-2026 09:00 AM ,27-Jan-2026 01:00 PM ,20-Jan-2026 09:00 AM,27-Jan-2026 01:00 PM,07-Feb-2026 04:00 PM,"1,652",UPSCIDCO,BASTI,No,1,FDR - Fixed Deposit,AOC,Technical,M/S AANYA CONSTRUCTION and M/s GEETA TRADING AND CONSTRUCTION Found,Ramesh Bahadur Shahi,07-Feb-2026 12:59 PM,technical_2044198.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,10-Feb-2026 06:09 PM,finsummary_2044198.pdf (477.90 KB),Finance,M/s GEETA TRADING AND CONSTRUCTION Found L1,Ramesh Bahadur Shahi,10-Feb-2026 06:06 PM,finance_2044198.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,07-Feb-2026 01:01 PM,07-Feb-2026 04:00 PM,techsummary_2044198.pdf (578.29 KB),16-Feb-2026,"INR 1,270,364",90.0,Ramesh Bahadur Shahi,16-Feb-2026 10:48 AM,2Ahirauli.pdf (993.00 KB),M/s Geeta Trading and Construction Found L1,1,5823045,GEETA TRADING AND CONSTRUCTION,25-Jan-2026 08:07 PM,Accepted-AOC,L1,16-Feb-2026 10:48 AM,1.0,5823045.0,GEETA TRADING AND CONSTRUCTION,INR,"1,270,364",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1107608_1,2009 /EE SKN /E-Tender /Vidhayak Nidhi Harraiya Basti /2025-26 Dated 19-01-2026,Construction of yatri Rest work at Gram Panchayat Ahirauli Me Panchayat Bhawan Ke Bagal Block Parsarampur Distt Basti. (Vidhayak Nidhi Harraiya Basti),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5823006,M/S AANYA CONSTRUCTION,25-Jan-2026 10:57 PM,Rejected-Finance,L2,10-Feb-2026 06:09 PM,,,,,,,,,,AOC
