S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,FDR - Fixed Deposit,"1,652",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",28-Jan-2026 04:00 PM,04-Feb-2026 11:00 AM,28-Jan-2026 04:00 PM,04-Feb-2026 10:30 AM,NA ,NA ,28-Jan-2026 04:00 PM,04-Feb-2026 10:30 AM,07-Feb-2026 02:40 PM,1,Fee,.pdf,TENDER FEE,"21,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,095/EE/MBD/NIDHI/2024-25 Dt. 28-01-2026,2026_SCIDC_1110261_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,Construction work of 100.00 meter CC road and drain from Barakat Pradhan house towards the mosque in village Khalilpur Chetrampur. District Moradabad. (MLA-Nidhi Work),Construction work of 100.00 meter CC road and drain from Barakat Pradhan house towards the mosque in village Khalilpur Chetrampur. District Moradabad. (MLA-Nidhi Work),Please refer Tender documents. ,NA ,"10,04,386",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,AOC,Technical,TECHNICAL REPORT,Avdhesh kumar Verma,07-Feb-2026 02:30 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,07-Feb-2026 05:46 PM,finsummary_2050361.pdf (211.00 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,07-Feb-2026 05:28 PM,,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,07-Feb-2026 02:39 PM,07-Feb-2026 02:40 PM,techsummary_2050361.pdf (546.86 KB),09-Feb-2026,"INR 1,003,783.37",60.0,Avdhesh kumar Verma,18-Feb-2026 11:07 AM,095NIT0134WOMBD.pdf (480.00 KB),LOI OF WORK,1.0,5835105.0,CHANDER ENTERPRISES,31-Jan-2026 10:06 PM,Accepted-AOC,AMOUNT IS LOWEST,18-Feb-2026 11:07 AM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1110261_1,095/EE/MBD/NIDHI/2024-25 Dt. 28-01-2026,Construction work of 100.00 meter CC road and drain from Barakat Pradhan house towards the mosque in village Khalilpur Chetrampur. District Moradabad. (MLA-Nidhi Work),1.0,5835105.0,CHANDER ENTERPRISES,INR,"1,003,783.37",AOC
2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5839476.0,VINAYAK CONSTRUCTION,03-Feb-2026 06:30 AM,Rejected-Finance,AMOUNT IS HIGH,07-Feb-2026 05:46 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
