Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Mahul Azamgarh,175/NPM/PEYJAL/3/2/2026,2026_DOLBU_1112121_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1,DD - Demand Draft,"1,175",EXECUTIVE OFFICER,NAGAR PANCHAYAT MAHUL,No,04-Feb-2026 10:00 AM,25-Feb-2026 11:00 AM,04-Feb-2026 10:00 AM,24-Feb-2026 04:00 PM,NA ,NA ,04-Feb-2026 10:00 AM,24-Feb-2026 04:00 PM,26-Feb-2026 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,"19,920",No,percentage,2.0%,EXECUTIVE OFFICER,NAGAR PANCHAYAT MAHUL,EXECUTIVE OFFICER,NAGAR PANCHAYAT MAHUL AZAMGARH,TUBEL EASTABLISHMENT WORK,WARD NO 04 NEHARU NAGAR ME 7.50 HP NALKOOP ADHISTHAPAN KA KARYA,Please refer Tender documents. ,NA ,"9,96,000",Civil Works - Water Works,NA ,Tender,90.0,30.0,NP MAHUL,223225.0,NA ,NA ,NA ,NP MAHUL,No ,No,AOC,AVADESHMISRA,Internal,RAJATKUMARSANTOSHGOND,rajat kumar,26-Feb-2026 11:24 AM,26-Feb-2026 11:30 AM,techsummary_2056717.pdf (892.83 KB),Finance,FINANCE12,rajat kumar,26-Feb-2026 07:28 PM,finance_2056717.pdf,BOQ Comparative Chart,AVADESHMISRA,Internal,RAJATKUMARSANTOSHGOND,Avadhesh Misra,27-Feb-2026 01:24 PM,finsummary_2056717.pdf (486.33 KB),Technical,TECHNICALYADMITTED,rajat kumar,25-Feb-2026 05:36 PM,technical_2056717.pdf,1.0,5903783.0,A K CONSTRUCTION AND GENERAL ORDER SUPPLIERS,INR,"995,500",Directorate of Local Bodies UP||Nagar Panchayat Mahul Azamgarh,2026_DOLBU_1112121_1,175/NPM/PEYJAL/3/2/2026,TUBEL EASTABLISHMENT WORK,1.0,5903783.0,A K CONSTRUCTION AND GENERAL ORDER SUPPLIERS,20-Feb-2026 09:44 PM,Accepted-AOC,LOWESTRATE,27-Feb-2026 02:36 PM,27-Feb-2026,"INR 995,500",30.0,Avadhesh Misra,27-Feb-2026 02:35 PM,AOC21.pdf (241.00 KB),AWARDED OF CONTRACT,AOC
,,,,,,,,,,,,,,2,SS - Small Savings Instrument,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5903851.0,MAA DEI AVINASHI CONSTRUCTION,20-Feb-2026 10:18 PM,Rejected-Finance,HIGHEST RATE,27-Feb-2026 01:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,3,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5905646.0,Om Construction,21-Feb-2026 12:30 PM,Rejected-Finance,HIGHEST RATE,27-Feb-2026 01:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,4,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
