Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1108825_7,2193/EE/RED/14-01-2026,"Const. of culvert of Nala in vill. Nitavali, G.P. Bamtapur, Tehsil Karhal, Block Barnahal.",1.0,5831532.0,M/s HUKAM SHREE CONTRACTOR,INR,"315,037.5",1,5831532,M/s HUKAM SHREE CONTRACTOR,29-Jan-2026 06:56 PM,Accepted-AOC,L-1,12-Feb-2026 01:22 PM,10-Feb-2026,"INR 315,037.5",60.0,Nuzahat Parveen,12-Feb-2026 01:22 PM,BAMTA_0001.pdf (374.00 KB),Er.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,30-Jan-2026 03:45 PM,03-Feb-2026 10:00 AM,techsummary_2047505.pdf (293.96 KB),Finance,all bids admitted,Nuzahat Parveen,03-Feb-2026 10:24 AM,,BOQ Comparative Chart,Er.Nuzhat parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,03-Feb-2026 10:31 AM,finsummary_2047505.pdf (293.22 KB),Technical,all bids admitted,Nuzahat Parveen,30-Jan-2026 01:19 PM,,AOC,"6,000",Yes,fixed,,Nil,Nil,Executive engineer,"Const. of culvert of Nala in vill. Nitavali, G.P. Bamtapur, Tehsil Karhal, Block Barnahal.","Const. of culvert of Nala in vill. Nitavali, G.P. Bamtapur, Tehsil Karhal, Block Barnahal.","Const. of culvert of Nala in vill. Nitavali, G.P. Bamtapur, Tehsil Karhal, Block Barnahal.",Please refer Tender documents. ,NA ,"3,15,667",Civil Works - Others,NA ,Tender,90.0,60.0,mainpuri,205001.0,NA ,NA ,NA ,E.E.RED OFFICE VIKAS BHAWAN MAINPURI,No ,No,24-Jan-2026 10:00 AM,30-Jan-2026 12:30 PM,24-Jan-2026 10:00 AM,30-Jan-2026 12:00 PM,NA ,NA ,24-Jan-2026 10:00 AM,30-Jan-2026 12:00 PM,03-Feb-2026 10:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2193/EE/RED/14-01-2026,2026_REDUP_1108825_7,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical bid,677.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,2,5831541,M/S Sarvesh Kumar,29-Jan-2026 05:16 PM,Rejected-Finance,L-2,03-Feb-2026 10:31 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,AOC
