Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
28-Feb-2026,"INR 6,775,405.64",210.0,Jagpal Verma,28-Feb-2026 09:29 PM,Akbarpur.pdf (641.00 KB),Balance Repair Work of Rajkiya Anusuchit Jaati Hostal Akbarpur Distt. AmbedakarNagar,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1104939_3,585/E E/Ayo/E Tender/Hostal Repair Work/25-26 Date 08.01.2026,Balance Repair Work of Rajkiya Anusuchit Jaati Hostal Akbarpur Distt. AmbedakarNagar,1.0,5866506.0,M/S USHA SINGH,INR,"6,775,405.64",1,5866392,M/s BLACKROCK INFRASTRUCTURE,13-Feb-2026 12:00 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2026 03:12 PM,Finance,Financial Summary,Jagpal Verma,28-Feb-2026 05:34 PM,finance_2060061.pdf,BOQ Comparative Chart,EE,Internal,EE AA,Jagpal Verma,28-Feb-2026 03:48 PM,28-Feb-2026 03:50 PM,techsummary_2060061.pdf (730.37 KB),Technical,Technical Commetee,Jagpal Verma,28-Feb-2026 03:12 PM,technical_2060061.pdf,EE,Internal,EE AA,Jagpal Verma,28-Feb-2026 05:37 PM,finsummary_2060061.pdf (878.72 KB),AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,585/E E/Ayo/E Tender/Hostal Repair Work/25-26 Date 08.01.2026,2026_SCIDC_1104939_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,Balance Repair Work of Rajkiya Anusuchit Jaati Hostal Akbarpur Distt. AmbedakarNagar,Balance Repair Work of Rajkiya Anusuchit Jaati Hostal Akbarpur Distt. AmbedakarNagar,Please refer Tender documents. ,NA ,,Construction Works,Repair Work of Rajkiya Anusuchit Jaati Hostal  ,Tender,90.0,210.0,Ambedkarnagar,224122.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,09-Feb-2026 11:00 AM ,EE office up scidco,No ,No,1.0,Fee/PreQual/Technical,.pdf,Balance Repair Work of Rajkiya Anusuchit Jaati Hostal Akbarpur Distt. Ambedakar Nagar,06-Feb-2026 06:00 PM,13-Feb-2026 11:00 AM,06-Feb-2026 06:00 PM,13-Feb-2026 09:00 AM,NA ,NA ,06-Feb-2026 06:10 PM,13-Feb-2026 09:00 AM,28-Feb-2026 03:50 PM,"2,360",online,Ayodhya,No,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,"1,35,000",No,fixed,,E E U P Scidco,Ayodhya,AOC
,,,,,,,,,,,,,,,,2,5866506,M/S USHA SINGH,13-Feb-2026 04:23 AM,Accepted-AOC,ok,28-Feb-2026 09:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5866216,NOVA CONSTRUCTION,12-Feb-2026 09:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5866568,RAGHUVANSHI MANI SINGH THEKEDAR,13-Feb-2026 07:40 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2026 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5866512,VITTHAL GROUP,13-Feb-2026 04:42 AM,Rejected-Finance,not ok,28-Feb-2026 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
