S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,FDR - Fixed Deposit,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"Construction work of 100.00 meter CC road and drain from Altaf ji shop towards Shri Pappu ji enclosure in village Mirzapur Bela. BLOCK-JALILPUR, DISTRICT- BIJNOR. (NIDHI WORK)","Construction work of 100.00 meter CC road and drain from Altaf ji shop towards Shri Pappu ji enclosure in village Mirzapur Bela. BLOCK-JALILPUR, DISTRICT- BIJNOR. (NIDHI WORK)",Please refer Tender documents. ,NA ,"8,31,455",Civil Works - Roads,NA ,Tender,60.0,60.0,BIJNOR,246725.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,039/E.E./BJR/NIDHI/2025-26 Dt. 09-01-2026,2026_SCIDC_1105015_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,1,Fee,.pdf,FEE,"E.E., UPSCIDCO, BIJNOR","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",09-Jan-2026 02:00 PM,16-Jan-2026 11:00 AM,09-Jan-2026 02:00 PM,16-Jan-2026 10:00 AM,NA ,NA ,09-Jan-2026 02:00 PM,16-Jan-2026 10:00 AM,17-Jan-2026 02:45 PM,"17,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,AOC,Technical,TECHNICAL REPORT,Avdhesh kumar Verma,17-Jan-2026 02:28 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,17-Jan-2026 06:02 PM,finsummary_2038866.pdf (691.07 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,17-Jan-2026 05:31 PM,,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,17-Jan-2026 02:42 PM,17-Jan-2026 02:45 PM,techsummary_2038866.pdf (997.23 KB),19-Jan-2026,"INR 831,205.56",60.0,Avdhesh kumar Verma,06-Feb-2026 02:35 PM,39NIT54WO.pdf (262.00 KB),LOI OF WORK,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1105015_1,039/E.E./BJR/NIDHI/2025-26 Dt. 09-01-2026,"Construction work of 100.00 meter CC road and drain from Altaf ji shop towards Shri Pappu ji enclosure in village Mirzapur Bela. BLOCK-JALILPUR, DISTRICT- BIJNOR. (NIDHI WORK)",1.0,5798060.0,MOHD USMAN,INR,"831,205.56",1.0,5798060.0,MOHD USMAN,11-Jan-2026 11:16 AM,Accepted-AOC,AMOUNT IS LOWEST,06-Feb-2026 02:35 PM,AOC
2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5802549.0,SAMEER ENTERPRISES,13-Jan-2026 08:44 PM,Rejected-Finance,AMOUNT IS HIGH,17-Jan-2026 06:02 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
