Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Gorakhpur,320/SE/2025-26 Date- 17/01/2026,2026_UPIDM_1111052_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL,1.0,SBI Bank,SE NALKOOP MANDAL GORAKHPUR,OFFICE SE NALKOOP MANDAL GORAKHPUR,"2,354",Nil,Nil,No,"1,78,740",No,fixed,,Nil,Nil,31-Jan-2026 12:00 PM,06-Feb-2026 03:00 PM,31-Jan-2026 12:00 PM,06-Feb-2026 12:00 PM,NA ,NA ,31-Jan-2026 12:00 PM,06-Feb-2026 12:00 PM,11-Feb-2026 01:35 PM,"Supply, Installation, Testing and Commissioning of 700 MM Dia Sluice valve in suction at Village Kalyanpur, at KM 18.20 of Machhligaon Algatpur Bund on right Bank of Rohin river, Gorakhpur.","Supply, Installation, Testing and Commissioning of 700 MM Dia Sluice valve in suction at Village Kalyanpur, at KM 18.20 of Machhligaon Algatpur Bund on right Bank of Rohin river, Gorakhpur.",Please refer Tender documents. ,NA ,"89,37,000",Miscellaneous Works,NA ,Tender,90.0,120.0,Gorakhpur,273001.0,NA ,NA ,NA ,OFFICE SE NALKOOP MANDAL GORAKHPUR,No ,No,AOC,Finance,financial evaluation,Hardev Prasad,11-Feb-2026 02:18 PM,finance_2052175.pdf,BOQ Comparative Chart,SE NALKOOP MANDAL GORAKHPUR,Internal,,Hardev Prasad,11-Feb-2026 01:30 PM,11-Feb-2026 01:35 PM,techsummary_2052175.pdf (328.32 KB),Technical,TECHNICAL EVALUATION,Hardev Prasad,11-Feb-2026 01:24 PM,technical_2052175.pdf,SE NALKOOP MANDAL GORAKHPUR,Internal,,Hardev Prasad,23-Feb-2026 09:36 PM,finsummary_2052175.pdf (349.48 KB),23-Feb-2026,"INR 7,043,750",120.0,Hardev Prasad,23-Feb-2026 09:40 PM,320aoc.pdf (440.00 KB),L1,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell East)||Superintending Engineer (Tubewell) Gorakhpur,2026_UPIDM_1111052_1,320/SE/2025-26 Date- 17/01/2026,"Supply, Installation, Testing and Commissioning of 700 MM Dia Sluice valve in suction at Village Kalyanpur, at KM 18.20 of Machhligaon Algatpur Bund on right Bank of Rohin river, Gorakhpur.",1.0,5846314.0,M/S M.K. ENTERPRISES,INR,"7,043,750",1,5841260,J K ENTERPRISES,03-Feb-2026 06:19 PM,Rejected-Technical,TECHNICAL REJECT,11-Feb-2026 01:30 PM,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5846314,M/S M.K. ENTERPRISES,06-Feb-2026 10:25 AM,Accepted-AOC,L1,23-Feb-2026 09:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5845233,M/S S S ENTERPRISES,05-Feb-2026 06:56 PM,Rejected-Finance,L2,23-Feb-2026 09:36 PM,AOC
