Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,996 Date 28-01-2026 Lot No - 4,2026_RDUP_1111262_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,500.0,BDO CHILKAHAR,CHILKAHAR,No,BDO CHILKAHAR,BDO OFFICE CHILKAHAR,1,DD - Demand Draft,"18,740",No,percentage,2.0%,BDO CHILKAHAR,CHILKAHAR,02-Feb-2026 11:00 AM,17-Feb-2026 04:00 PM,02-Feb-2026 11:00 AM,17-Feb-2026 03:00 PM,NA ,NA ,02-Feb-2026 11:00 AM,17-Feb-2026 03:00 PM,19-Feb-2026 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,budhu mein suresh doobe ke ghar se avadhesh sinh ke ghar tak intaralaaking jig jaig pevars ka nirmaan kaary,budhu mein suresh doobe ke ghar se avadhesh sinh ke ghar tak intaralaaking jig jaig pevars ka nirmaan kaary,NIT ,NA ,"9,37,000",Civil Works,NA ,Tender,90.0,90.0,KP CHILKAHAR,221701.0,NA ,NA ,NA ,BDO OFFICE CHILKAHAR,No ,No,AOC,1.0,5879861.0,BHAGWAN VENKTES CONSTRUCTION AND SUPPLIERS,16-Feb-2026 03:45 PM,Rejected-AOC,L3,20-Feb-2026 01:00 PM,19-Feb-2026,"INR 936,344.1",90.0,VINOD KUMAR BIND,20-Feb-2026 01:00 PM,4.pdf (59.00 KB),AOC,"VINOD KUMAR BIND, BDO, PRAVIN CHANDRA BARANWAL, JE RED, SURESH KUMAR, ACCOUNTANT",Internal,"VINOD KUMAR BIND, BDO, PRAVIN CHANDRA BARANWAL, JE RED, SURESH KUMAR, ACCOUNTANT",VINOD KUMAR BIND,19-Feb-2026 01:36 PM,19-Feb-2026 03:00 PM,techsummary_2052754.pdf (201.39 KB),Finance,Bid Opening Summary,VINOD KUMAR BIND,19-Feb-2026 04:45 PM,,BOQ Comparative Chart,Commissioner Rural Development UP||JDC Azamgarh||CDO Ballia||DDO Ballia||BDO Chilkahar,2026_RDUP_1111262_1,996 Date 28-01-2026 Lot No - 4,budhu mein suresh doobe ke ghar se avadhesh sinh ke ghar tak intaralaaking jig jaig pevars ka nirmaan kaary,Technical,Bid Opening Summary,VINOD KUMAR BIND,19-Feb-2026 01:28 PM,,"VINOD KUMAR BIND, BDO, PRAVIN CHANDRA BARANWAL, JE RED, SURESH KUMAR, ACCOUNTANT",Internal,"VINOD KUMAR BIND, BDO, PRAVIN CHANDRA BARANWAL, JE RED, SURESH KUMAR, ACCOUNTANT",VINOD KUMAR BIND,19-Feb-2026 07:34 PM,finsummary_2052754.pdf (201.39 KB),1.0,5872019.0,M/S SANJAY KUMAR SINGH,INR,"936,344.1",AOC
,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,AOC,2.0,5871734.0,M/S JAI MAA BHAGAWATI VINDHYACHALI TRADERS,14-Feb-2026 07:09 PM,Rejected-AOC,L2,20-Feb-2026 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,5872019.0,M/S SANJAY KUMAR SINGH,14-Feb-2026 08:05 PM,Accepted-AOC,L1,20-Feb-2026 01:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
