Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
05-Jan-2026 05:00 PM,28-Jan-2026 04:00 PM,05-Jan-2026 05:00 PM,27-Jan-2026 05:00 PM,NA ,NA ,05-Jan-2026 05:00 PM,27-Jan-2026 05:00 PM,31-Jan-2026 03:00 PM,Executive Offiecer NP Kachhauna Patseni Distt-Hard,Ward No. 05 Mo Thakurganj Natpurwa NP Kachhauna Patseni Distt-Hardoi Pin Code-241126 U.P.,"49,466",Yes,fixed,,Executive Officer,NP Kachhauna Patseni Hardoi,1,DD - Demand Draft,-Nagar Panchayat Kachhauna Patseni ke Antragat Ward No.09 Imalipur and 02 Kashinagar me 02 Nag Mini Nalkup Samar Sebil Adhishthapan Nirman Karya.,-Nagar Panchayat Kachhauna Patseni ke Antragat Ward No.09 Imalipur and 02 Kashinagar me 02 Nag Mini Nalkup Samar Sebil Adhishthapan Nirman Karya.,Please refer Tender documents. ,NA ,"24,73,280",Water Equipments/ Meter/ Drilling/ Boring,02 Nag Mini Nalkup Samar Sebil Adhishthapan Nirman ,Tender,90.0,90.0,NP Kachhauna Patseni Distt-Hardoi,241126.0,NA ,NA ,NA ,NP Kachhauna Patseni Distt-Hardoi,No ,No,Directorate of Local Bodies UP||Nagar Panchayat Kachaunapatseni Hardoi,280 /n.p.Kachhauna/pey0yo and ra0vi0va/I-Tender/2025-26 Date-01.01.2026,2026_DOLBU_1103754_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,NIT Document,"2,950",Executive Officer,NP Kachhauna Patseni Hardoi,Yes,AOC,Gathit Samiti,Internal,Gathit Samiti,Devanshi Dixit,31-May-2026 11:42 AM,finsummary_2035651.pdf (332.08 KB),Technical,Gathit Samiti,Devanshi Dixit,29-Jan-2026 06:13 PM,technical_2035651.pdf,Gathit Samiti,Internal,Gathit Samiti,Devanshi Dixit,29-Jan-2026 07:29 PM,31-Jan-2026 03:00 PM,techsummary_2035651.pdf (489.34 KB),Finance,Gathit Samiti,Devanshi Dixit,31-Jan-2026 05:38 PM,finance_2035651.pdf,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Panchayat Kachaunapatseni Hardoi,2026_DOLBU_1103754_1,280 /n.p.Kachhauna/pey0yo and ra0vi0va/I-Tender/2025-26 Date-01.01.2026,-Nagar Panchayat Kachhauna Patseni ke Antragat Ward No.09 Imalipur and 02 Kashinagar me 02 Nag Mini Nalkup Samar Sebil Adhishthapan Nirman Karya.,1.0,5825171.0,POOJA TIWARI,INR,"2,470,806.72",1.0,5826978.0,BALA JI CONTRACTOR AND SUPPLIERS,27-Jan-2026 01:24 PM,Rejected-Finance,Rejected,31-Jan-2026 06:33 PM,12-Feb-2026,"INR 2,470,806.72",60.0,Devanshi Dixit,12-Feb-2026 03:41 PM,workorderward09.pdf (859.00 KB),Winner,AOC
,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,NIT Financial,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5825171.0,POOJA TIWARI,27-Jan-2026 11:44 AM,Accepted-AOC,Winner,12-Feb-2026 03:41 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5824982.0,SHRI PARMESHWARA CONSTRUCTIONS,26-Jan-2026 11:42 AM,Rejected-Finance,Rejected,31-Jan-2026 06:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
