Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,2026_DOLBU_1106593_1,997/34/NPPKHT/2025-26 DATE-16/01/2026,ward no-19 mohalla islmanagar me roadways bus stand ke barbar wali me gt road se dr guddu chaurahe tak 4 inch pvc payjal pipe line bichane ka kary,1.0,5835943.0,RAKESH KUMAR CONTRECTOR,INR,"713,800",1,5836425,ASHWANI KUMAR CONTRACTOR,01-Feb-2026 06:47 PM,Rejected-AOC,ABOVE,20-Feb-2026 12:05 PM,16-Feb-2026,"INR 713,800",60.0,Rajeev Kumar,20-Feb-2026 12:05 PM,Work34.pdf (215.00 KB),CHAIRMAN EO JE,Internal,CHAIRMAN EO JE,Rajeev Kumar,09-Feb-2026 01:31 PM,09-Feb-2026 03:00 PM,techsummary_2041728.pdf (4644.23 KB),Finance,finance,Rajeev Kumar,13-Feb-2026 05:58 PM,finance_2041728.pdf,BOQ Comparative Chart,CHAIRMAN EO JE,Internal,,Rajeev Kumar,16-Feb-2026 11:15 AM,finsummary_2041728.pdf (4376.44 KB),Technical,ATTANDANCE,Rajeev Kumar,06-Feb-2026 01:44 PM,technical_2041728.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,1.0,FDR - Fixed Deposit,Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,997/34/NPPKHT/2025-26 DATE-16/01/2026,2026_DOLBU_1106593_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,"1,692",EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No,ward no-19 mohalla islmanagar me roadways bus stand ke barbar wali me gt road se dr guddu chaurahe tak 4 inch pvc payjal pipe line bichane ka kary,ward no-19 mohalla islmanagar me roadways bus stand ke barbar wali me gt road se dr guddu chaurahe tak 4 inch pvc payjal pipe line bichane ka kary,Please refer Tender documents. ,NA ,"7,16,955",Water Supply,NA ,Tender,90.0,60.0,WORK,251201.0,NA ,NA ,NA ,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No ,No,"71,696",No,percentage,10.0%,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,16-Jan-2026 02:00 PM,05-Feb-2026 02:00 PM,16-Jan-2026 02:00 PM,05-Feb-2026 12:00 PM,NA ,NA ,16-Jan-2026 02:00 PM,05-Feb-2026 12:00 PM,09-Feb-2026 03:00 PM,AOC
,,,,,,,,,2,5835943,RAKESH KUMAR CONTRECTOR,01-Feb-2026 08:31 PM,Accepted-AOC,BELOW,20-Feb-2026 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Finance,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5835826,W A CONTRACTOR,01-Feb-2026 02:46 PM,Rejected-AOC,ABOVE,20-Feb-2026 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
