S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,5812296.0,M/S ANUBHAV INDIA COMPANY,18-Jan-2026 11:16 AM,Rejected-AOC,REJECTED L2 BIDDER,16-May-2026 11:16 AM,"Office of The Director Ground Water Department||Superintending Engineer Bareilly||Sr. Geophysicist, GWD Dn- Agra (Geophysical)",2026_UPGWD_1104588_1,26/ATALRWH/AGRA/2025-26,Construction work of Roof Top Rain Water Harvesting Structures on buildings of BDMM GIRLS PG COLLEGE Block Shikohabad District Firozabad Under Atal Bhujal Yojna,1.0,5809476.0,VRIDHHI ENTERPRISES,INR,"787,824.29",12-Feb-2026,"INR 787,824.29",30.0,Shashank Singh,16-Feb-2026 02:59 PM,AOCATALRWH26.pdf (348.00 KB),CONTRACT VALUE INCLUDING GST,SHASHANK SHEKHAR SINGH,Internal,ANKUR SRIVASTAVA NAURATAN KAMAL AVADHESH KUMAR BHASKER SHAILENDRA KUMAR VINAYAK TRIPATHI,Shashank Singh,29-Jan-2026 01:42 PM,finsummary_2037823.pdf (1134.49 KB),Technical,BIDSUMMARY,Shashank Singh,19-Jan-2026 02:38 PM,technical_2037823.pdf,SHASHANK SHEKHAR SINGH,Internal,ANKUR SRIVASTAVA NAURATAN KAMAL AVADHESH KUMAR BHASKER SHAILENDRA KUMAR VINAYAK TRIPATHI,Shashank Singh,19-Jan-2026 02:54 PM,19-Jan-2026 03:30 PM,techsummary_2037823.pdf (1205.16 KB),Finance,FINANCIALMINUTES,Shashank Singh,29-Jan-2026 01:37 PM,finance_2037823.pdf,BOQ Comparative Chart,AOC,"16,000",No,fixed,,Nil,Nil,08-Jan-2026 11:16 AM,19-Jan-2026 11:30 AM,08-Jan-2026 10:00 AM,19-Jan-2026 11:00 AM,08-Jan-2026 10:00 AM ,09-Jan-2026 10:00 AM ,08-Jan-2026 10:00 AM,19-Jan-2026 11:00 AM,19-Jan-2026 03:30 PM,854.0,Nil,Nil,No,SENIOR GEOPHYSICIST,OFFICE OF SENIOR GEOPHYSICIST GROUND WATER DEPARTMENT 295 JAIPUR HOUSE COLONY AGRA,1.0,SBI Bank,Construction work of Roof Top Rain Water Harvesting Structures on buildings of BDMM GIRLS PG COLLEGE Block Shikohabad District Firozabad Under Atal Bhujal Yojna,Construction work of Roof Top Rain Water Harvesting Structures on buildings of BDMM GIRLS P.G. COLLEGE Block Shikohabad District Firozabad Under Atal Bhujal Yojna,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,45.0,DIV AGRA,282010.0,NA ,NA ,NA ,AGRA,No ,No,1.0,Fee/PreQual/Technical,.pdf,AS PER TENDER NOTICE,1.0,clerikal typing error in BID document,Other,,"Office of The Director Ground Water Department||Superintending Engineer Bareilly||Sr. Geophysicist, GWD Dn- Agra (Geophysical)",26/ATALRWH/AGRA/2025-26,2026_UPGWD_1104588_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,AOC
2.0,5809779.0,SHEELA ENTERPRISES,26-May-2026 11:16 AM,Rejected-AOC,REJECTED L3 BIDDER,16-Feb-2026 03:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TENDER DOCUMENT SIGNED BY AUTHORISED SIGNATORY,,,,,,,,,,,,,,,,,,,AOC
3.0,5809476.0,VRIDHHI ENTERPRISES,16-Jan-2026 03:23 PM,Accepted-AOC,ACCEPTED L1 BIDDER,16-Feb-2026 03:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER DOCUMENT REQUIRED AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
