S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,EE cd3 Pwd gzp,offfice of ee cd3 pwd gzp,854.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Technical,02-Feb-2026 12:00 PM,09-Feb-2026 12:30 PM,02-Feb-2026 12:00 PM,09-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 12:00 PM,09-Feb-2026 12:00 PM,17-Feb-2026 04:00 PM,Renewal of Nasirpur to Bathna link road,Renewal of Nasirpur to Bathna link road,Please refer Tender documents. ,NA ,"15,80,000",Civil Works,NA ,Tender,90.0,60.0,ghaziur,233001.0,NA ,NA ,NA ,offfice of ee cd3 pwd gzp,No ,No,"1,58,000",Yes,fixed,,Nil,Nil,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 3, PWD Ghazipur",124/10A dt 17-01-2026,2026_CEUVZ_1110973_145,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,5851302.0,M/S VSY ENTERPRISES,INR,"1,490,118.32",Technical,Admitted,Kiran Pal,17-Feb-2026 02:23 PM,,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 3, PWD Ghazipur",2026_CEUVZ_1110973_145,124/10A dt 17-01-2026,Renewal of Nasirpur to Bathna link road,1,5851302,M/S VSY ENTERPRISES,09-Feb-2026 11:19 AM,Accepted-AOC,L1,27-Feb-2026 04:49 PM,27-Feb-2026,"INR 1,490,118.32",60.0,Kiran Pal,27-Feb-2026 04:49 PM,145_11.pdf (191.00 KB),Kiran Pal,Internal,,Kiran Pal,27-Feb-2026 12:48 PM,finsummary_2053684.pdf (191.38 KB),Finance,Admitted,Kiran Pal,27-Feb-2026 12:38 PM,,BOQ Comparative Chart,Kiran Pal,Internal,,Kiran Pal,17-Feb-2026 03:10 PM,17-Feb-2026 04:00 PM,techsummary_2053684.pdf (2377.43 KB),AOC
,,,,,,,,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,5849766,VINA CONSTRUCTION,09-Feb-2026 11:27 AM,Rejected-Finance,L2,27-Feb-2026 12:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
