Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
25-Feb-2026,"INR 4,480,367.97",360.0,Brijesh Kumar,25-Feb-2026 02:43 PM,LOA1.pdf (358.00 KB),AOC,1.0,5833408.0,Shrishti Construction,INR,"4,480,367.97","U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",2026_UPIDC_1108679_1,04/SE-IV/2025-26,"LOT No. 1 Construction of Two Additional Suites at Konch Inspection house under Betwa Canal Division-I, Orai, in District Jalaun (U.P.)",1,5837735,akash kumar,02-Feb-2026 11:14 AM,Rejected-AOC,L3,25-Feb-2026 02:43 PM,Finance,All bids are admitted,Brijesh Kumar,25-Feb-2026 02:27 PM,,BOQ Comparative Chart,Brijesh Kumar,Internal,Jitendra Kanaujia,Brijesh Kumar,12-Feb-2026 01:58 PM,26-May-2026 11:14 AM,techsummary_2047031.pdf (560.16 KB),Technical,All bids are Admitted,Brijesh Kumar,12-Feb-2026 01:47 PM,,Brijesh Kumar,Internal,Jitendra Kanaujia,Brijesh Kumar,25-Feb-2026 11:14 AM,finsummary_2047031.pdf (9972.44 KB),AOC,"1,09,000",No,fixed,,Nil,Nil,"LOT No. 1 Construction of Two Additional Suites at Konch Inspection house under Betwa Canal Division-I, Orai, in District Jalaun (U.P.)","LOT No. 1 Construction of Two Additional Suites at Konch Inspection house under Betwa Canal Division-I, Orai, in District Jalaun (U.P.)",Please refer Tender documents. ,NA ,"54,70,000",Civil Works - Buildings,NA ,Tender,90.0,360.0,KONCH JALAUN,285205.0,NA ,NA ,NA ,Office of the Superintending Engineer 4 Circle Jha,No ,No,"2,650",Nil,Nil,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENTS,Superintending Engineer 4 Circle Jhansi,Office of the Superintending Engineer 4 Circle Jhansi,24-Jan-2026 11:14 AM,02-Feb-2026 03:30 PM,24-Jan-2026 10:00 AM,02-Feb-2026 03:00 PM,NA ,NA ,24-Jan-2026 10:00 AM,02-Feb-2026 03:00 PM,16-Feb-2026 11:00 AM,"U P Irrigation Department (Civil)||Chief Engineer-Betwa, Jhansi||IV Circle Irrigation Works, Jhansi",04/SE-IV/2025-26,2026_UPIDC_1108679_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2,5835757,M/s Rajeev Kumar Tiwari Contractor,02-Feb-2026 01:43 PM,Rejected-AOC,L4,25-Feb-2026 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,5837329,M/S RAJVANSH CONTRACTIONS,02-Feb-2026 02:25 PM,Rejected-Technical,ID form No. 111 and sufficient and vaild work exprience not uploded so not Qualify with elegibility criteria,12-Feb-2026 01:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,5833408,Shrishti Construction,02-Feb-2026 09:37 AM,Accepted-AOC,L1,25-Feb-2026 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,5837238,SOM SINGH NIRANJAN,02-Feb-2026 11:49 AM,Rejected-AOC,L2,25-Feb-2026 02:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
