Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1104326_6,"897/RED/Etender(25)/2025-26, Dt. 18.12.2025",Mohalla Chandmari me Mastram Verma ke ghar se Ajay Singh ke ghar tak interlocking evam nali nirman karya-Nagar Ksherta_06,1.0,5806319.0,Ajay Singh Contractor,INR,"513,956.13",1,5806319,Ajay Singh Contractor,17-Jan-2026 01:02 PM,Accepted-AOC,AOC,11-Feb-2026 05:46 PM,09-Feb-2026,"INR 513,956.13",180.0,Sujit Kumar Sinha,11-Feb-2026 05:46 PM,06.pdf (46.00 KB),Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,29-Jan-2026 04:17 PM,finsummary_2037171.pdf (45.60 KB),Technical,Technical bid open,Sujit Kumar Sinha,26-Jan-2026 01:50 PM,technical_2037171.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,28-Jan-2026 04:57 PM,29-Jan-2026 12:00 PM,techsummary_2037171.pdf (396.65 KB),Finance,Financial bid open,Sujit Kumar Sinha,29-Jan-2026 02:07 PM,finance_2037171.pdf,BOQ Comparative Chart,AOC,1.0,SBI Bank,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",07-Jan-2026 02:00 PM,24-Jan-2026 12:30 PM,07-Jan-2026 02:00 PM,24-Jan-2026 12:00 PM,NA ,NA ,07-Jan-2026 02:00 PM,24-Jan-2026 12:00 PM,29-Jan-2026 12:00 PM,Mohalla Chandmari me Mastram Verma ke ghar se Ajay Singh ke ghar tak interlocking evam nali nirman karya-Nagar Ksherta_06,Mohalla Chandmari me Mastram Verma ke ghar se Ajay Singh ke ghar tak interlocking evam nali nirman karya-Nagar Ksherta_06,Please refer Tender documents. ,NA ,"4,36,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,1,Fee/PreQual/Technical,.pdf,Technical bid document,1.0,Dage Corrigendum,Date,,"8,800",No,fixed,,Nil,Nil,692.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"897/RED/Etender(25)/2025-26, Dt. 18.12.2025",2026_REDUP_1104326_6,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,5806330,M/s Vikram Jaiswal,17-Jan-2026 01:16 PM,Rejected-Finance,High,29-Jan-2026 04:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
