Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
09-Feb-2026,"INR 289,943.93",60.0,Avdhesh kumar Verma,18-Feb-2026 11:11 AM,096NIT0135WOMBD.pdf (510.00 KB),LOI OF WORK,1.0,5835108.0,CHANDER ENTERPRISES,INR,"289,943.93",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1110276_1,096/EE/MBD/NIDHI/2024-25 Dt. 28-01-2026,Construction work of 42.00 meter CC road and drain from Rajauddin house to Abdul Salam house in village Shahpur. District Moradabad. (MLA-Nidhi Work),1.0,5835108.0,CHANDER ENTERPRISES,31-Jan-2026 10:12 PM,Accepted-AOC,AMOUNT IS LOWEST,18-Feb-2026 11:11 AM,Finance,FINANCIAL REPORT,Avdhesh kumar Verma,07-Feb-2026 05:29 PM,,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,07-Feb-2026 02:40 PM,07-Feb-2026 02:45 PM,techsummary_2050398.pdf (551.95 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,07-Feb-2026 02:31 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,07-Feb-2026 05:48 PM,finsummary_2050398.pdf (209.27 KB),AOC,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,096/EE/MBD/NIDHI/2024-25 Dt. 28-01-2026,2026_SCIDC_1110276_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,1,Fee,.pdf,TENDER FEE,1.0,FDR - Fixed Deposit,826.0,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"6,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,Construction work of 42.00 meter CC road and drain from Rajauddin house to Abdul Salam house in village Shahpur. District Moradabad. (MLA-Nidhi Work),Construction work of 42.00 meter CC road and drain from Rajauddin house to Abdul Salam house in village Shahpur. District Moradabad. (MLA-Nidhi Work),Please refer Tender documents. ,NA ,"2,90,118",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",28-Jan-2026 04:00 PM,04-Feb-2026 11:00 AM,28-Jan-2026 04:00 PM,04-Feb-2026 10:30 AM,NA ,NA ,28-Jan-2026 04:00 PM,04-Feb-2026 10:30 AM,07-Feb-2026 02:45 PM,AOC
,,,,,,,,,,,,,,,,2.0,5839481.0,VINAYAK CONSTRUCTION,03-Feb-2026 06:35 AM,Rejected-Finance,AMOUNT IS HIGH,07-Feb-2026 05:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
