EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"2,58,000",No,fixed,,"EXECUTIVE ENGINEER, UPRNSS UNIT LUCKNOW-2",Lucknow,"7,080",UTTAR PRADESH RAJYA NIRMAN SAHKARI SANGH LTD.,Lucknow,No,16-Jan-2026 11:11 AM,29-Jan-2026 03:00 PM,16-Jan-2026 04:00 PM,29-Jan-2026 01:00 PM,NA ,NA ,16-Jan-2026 04:00 PM,29-Jan-2026 01:00 PM,31-Jan-2026 03:20 PM,1.0,Fee/PreQual/Technical,.pdf,TECHNICAL BID,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,465/UPRNSS/E-TENDER/2025-26 DATE 13-01-2026,2026_UPRNS_1106692_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1,BG - Bank Guarantee,SUPERINTENDING ENGINEER LUCKNOW ZONE,"UPRNSS, 4/612, Sector-4, Gomti Nagar Vistar, Lucknow","CONSTRUCTION OF RAMP, DISABLED TOILET AND DEVELOPMENT WORKS UNDER WORKS UNDER ACCESSIBLE INDIA CAMPAIGN IN THE CIVIL SERVICES INSTITUTE AT HAZRATGANJ, DISTRICT-LUCKNOW(U.P.)",SEE IN TECHNICAL BOQ,Please refer Tender documents. ,NA ,"1,28,96,000",Civil Works,NA ,Tender,90.0,365.0,HAZRATGANJ,226001.0,LUCKNOW ,"Office of E.E., UPRNSS Unit Lucknow-2, 4/612, Sector-4, Gomti Nagar, Vistar, Lucknow ",19-Jan-2026 11:00 AM ,LUCKNOW,No ,No,AOC,Finance,FINANCE,VIJAY BAHADUR SINGH,31-Jan-2026 03:59 PM,,BOQ Comparative Chart,JITENDRA BAHADUR SINGH(S.E.),Internal,"ARUNENDRA KUMAR SINGH(EE), ABHINAV SHARMA(AE), ANIL KUMAR(JE), VIJAY BAHADUR SINGH(ACCTT.)",Arunendra Kumar Singh,31-Jan-2026 02:12 PM,31-Jan-2026 03:20 PM,techsummary_2041891.pdf (883.54 KB),Technical,03 BIDS ARE ADMITTED,Arunendra Kumar Singh,30-Jan-2026 10:12 AM,,JITENDRA BAHADUR SINGH(S.E.),Internal,"ARUNENDRA KUMAR SINGH(EE), ABHINAV SHARMA(AE), ANIL KUMAR(JE), VIJAY BAHADUR SINGH(ACCTT.)",Arunendra Kumar Singh,20-Feb-2026 10:53 AM,finsummary_2041891.pdf (352.95 KB),20-Feb-2026,"INR 12,857,312",365.0,Arunendra Kumar Singh,20-Feb-2026 10:58 AM,CSI.pdf (554.00 KB),TENDER AWARDED TO M/S SHILANYAS INFRACON ASSOCIATES AND BUILDERS PVT. LTD.,1,5822859,M/s Virendra Kumar Singh,24-Jan-2026 09:28 PM,Rejected-AOC,Due to High Rate Quoted,20-Feb-2026 10:58 AM,1.0,5829930.0,shilanyas infracon associates and builders private limited,INR,"12,857,312",Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2026_UPRNS_1106692_1,465/UPRNSS/E-TENDER/2025-26 DATE 13-01-2026,"CONSTRUCTION OF RAMP, DISABLED TOILET AND DEVELOPMENT WORKS UNDER WORKS UNDER ACCESSIBLE INDIA CAMPAIGN IN THE CIVIL SERVICES INSTITUTE AT HAZRATGANJ, DISTRICT-LUCKNOW(U.P.)",AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5830180,PASHUPATI CONSTRUCTION,28-Jan-2026 09:52 PM,Rejected-AOC,Due to Highest Rate Quoted,20-Feb-2026 10:58 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5829930,shilanyas infracon associates and builders private limited,28-Jan-2026 07:39 PM,Accepted-AOC,Due to Low Rate Quoted,20-Feb-2026 10:58 AM,,,,,,,,,,AOC
