Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,997/15/NPPKHT/2025-26 DATE-16/01/2026,2026_DOLBU_1106542_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,WARD NO-12 INAM MARKARI WALE KE MAKAN SE AHSAN PUTR HASHIB KE MAKAN TAK CC SADAK V NALI NIRMAN KARY,WARD NO-12 INAM MARKARI WALE KE MAKAN SE AHSAN PUTR HASHIB KE MAKAN TAK CC SADAK V NALI NIRMAN KARY,Please refer Tender documents. ,NA ,"4,35,500",Civil Works,NA ,Tender,90.0,60.0,WORK,251201.0,NA ,NA ,NA ,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No ,No,"1,028",EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"43,550",No,percentage,10.0%,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,16-Jan-2026 02:00 PM,05-Feb-2026 02:00 PM,16-Jan-2026 02:00 PM,05-Feb-2026 12:00 PM,NA ,NA ,16-Jan-2026 02:00 PM,05-Feb-2026 12:00 PM,09-Feb-2026 03:00 PM,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,AOC,CHAIRMAN EO JE,Internal,,Rajeev Kumar,14-Feb-2026 03:17 PM,finsummary_2041620.pdf (4376.45 KB),Technical,attandance,Rajeev Kumar,05-Feb-2026 06:49 PM,technical_2041620.pdf,CHAIRMAN EO JE,Internal,CHAIRMAN EO JE,Rajeev Kumar,09-Feb-2026 12:30 PM,09-Feb-2026 03:00 PM,techsummary_2041620.pdf (4644.23 KB),Finance,finanace,Rajeev Kumar,13-Feb-2026 06:16 PM,finance_2041620.pdf,BOQ Comparative Chart,1,5836286,ASHWANI KUMAR CONTRACTOR,01-Feb-2026 05:44 PM,Rejected-AOC,ABIOVE,19-Feb-2026 03:59 PM,1.0,5835794.0,W A CONTRACTOR,INR,"433,670.04",Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,2026_DOLBU_1106542_1,997/15/NPPKHT/2025-26 DATE-16/01/2026,WARD NO-12 INAM MARKARI WALE KE MAKAN SE AHSAN PUTR HASHIB KE MAKAN TAK CC SADAK V NALI NIRMAN KARY,16-Feb-2026,"INR 433,670.04",60.0,Rajeev Kumar,19-Feb-2026 03:59 PM,work15.pdf (326.00 KB),AOC
,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5835515,MAHESH KUMAR TYAGI,01-Feb-2026 12:08 PM,Rejected-AOC,ABOVE,19-Feb-2026 03:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5835906,RAKESH KUMAR CONTRECTOR,01-Feb-2026 08:22 PM,Rejected-AOC,BOVE,19-Feb-2026 03:59 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5835794,W A CONTRACTOR,01-Feb-2026 02:43 PM,Accepted-AOC,BELOW,19-Feb-2026 03:59 PM,,,,,,,,,,,,,,,,AOC
