S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,5820640.0,SHREE RAM MAKERS,INR,"1,016,796",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1107586_1,2007 /EE Basti /E-Tender /MLC Nidhi Basti /2025-26 Dated 19 -01-2026,Construction of Smriti Dwara work at Gram Marwatiya Babu Me Beladi Chaurahe Se Marwatiya Marg Par Purv Vidhayak Loktantra Senani Shri Jagdamba Prasad Singh Distt Basti. (MLC Nidhi Basti),1,5820708,M/S VIRAT TRADERS,23-Jan-2026 03:30 PM,Rejected-Finance,L2,11-Feb-2026 09:51 AM,16-Feb-2026,"INR 1,016,796",90.0,Ramesh Bahadur Shahi,16-Feb-2026 11:04 AM,MarwatiyBabuLOI.pdf (939.00 KB),M/s Shree Ram Makers L1,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,09-Feb-2026 03:41 PM,09-Feb-2026 05:00 PM,techsummary_2044151.pdf (431.29 KB),Finance,M/s SHREE RAM MAKERS Found L1,Ramesh Bahadur Shahi,11-Feb-2026 09:48 AM,finance_2044151.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,11-Feb-2026 09:51 AM,finsummary_2044151.pdf (466.58 KB),Technical,M/s SHREE RAM MAKERS and M/S VIRAT TRADERS Found,Ramesh Bahadur Shahi,09-Feb-2026 03:38 PM,technical_2044151.pdf,AOC,20-Jan-2026 09:00 AM,27-Jan-2026 02:00 PM,20-Jan-2026 09:00 AM,27-Jan-2026 01:00 PM,20-Jan-2026 09:00 AM ,27-Jan-2026 01:00 PM ,20-Jan-2026 09:00 AM,27-Jan-2026 01:00 PM,09-Feb-2026 05:00 PM,1,FDR - Fixed Deposit,"20,500",No,fixed,,UPSCIDCO,BASTI,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2007 /EE Basti /E-Tender /MLC Nidhi Basti /2025-26 Dated 19 -01-2026,2026_SCIDC_1107586_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of Smriti Dwara work at Gram Marwatiya Babu Me Beladi Chaurahe Se Marwatiya Marg Par Purv Vidhayak Loktantra Senani Shri Jagdamba Prasad Singh Distt Basti. (MLC Nidhi Basti),Construction of Smriti Dwara work at Gram Marwatiya Babu Me Beladi Chaurahe Se Marwatiya Marg Par Purv Vidhayak Loktantra Senani Shri Jagdamba Prasad Singh Distt Basti. (MLC Nidhi Basti),As Given in NIT ,NA ,"10,17,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti-272001 ",24-Jan-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti-272001",1,Fee/PreQual/Technical,.pdf,NIT,"1,652",UPSCIDCO,BASTI,No,AOC
,,,,,,,,,2,5820640,SHREE RAM MAKERS,23-Jan-2026 03:03 PM,Accepted-AOC,L1,16-Feb-2026 11:04 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC
