Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
SK,Internal,,Santosh Kumar,16-Feb-2026 01:11 PM,16-Feb-2026 02:00 PM,techsummary_2053978.pdf (868.71 KB),19-Feb-2026,"INR 2,923,592.6",60.0,Santosh Kumar,19-Feb-2026 11:02 PM,sa.pdf (289.00 KB),Date,Technical,open,Santosh Kumar,12-Feb-2026 12:31 PM,,Finance,open,Santosh Kumar,17-Feb-2026 12:16 PM,,BOQ Comparative Chart,sk,Internal,,Santosh Kumar,19-Feb-2026 10:42 PM,finsummary_2053978.pdf (291.40 KB),1.0,5845232.0,SANJAY KUMAR GUPTA,INR,"2,923,592.6",1,5845612,SANGRAM RAM,06-Feb-2026 06:27 PM,Rejected-Finance,l2,19-Feb-2026 10:42 PM,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 1, PWD Ghazipur",2026_CEUVZ_1111520_19,Ref No 158/10A Date 17.01.2026,"General Rapair and Renewalof the connecting road from Gahmar police station to Narwa Ghat, Sojhwa Ghat and Panchmukhi Hanuman Ghat",AOC,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Executive Engineer,CD1 PWD Ghazipur,854.0,Nil,Nil,No,"3,00,000",Yes,fixed,,Nil,Nil,"General Rapair and Renewalof the connecting road from Gahmar police station to Narwa Ghat, Sojhwa Ghat and Panchmukhi Hanuman Ghat","General Rapair and Renewalof the connecting road from Gahmar police station to Narwa Ghat, Sojhwa Ghat and Panchmukhi Hanuman Ghat",Please refer Tender documents. ,NA ,"30,00,000",Civil Works,NA ,Tender,90.0,60.0,GHAZIPUR,233001.0,NA ,NA ,NA ,Ghazipur,No ,No,02-Feb-2026 12:00 PM,07-Feb-2026 12:30 PM,02-Feb-2026 12:00 PM,07-Feb-2026 12:00 PM,NA ,NA ,02-Feb-2026 12:00 PM,07-Feb-2026 12:00 PM,16-Feb-2026 02:00 PM,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Construction Division - 1, PWD Ghazipur",Ref No 158/10A Date 17.01.2026,2026_CEUVZ_1111520_19,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5845232,SANJAY KUMAR GUPTA,06-Feb-2026 06:43 PM,Accepted-AOC,L1,19-Feb-2026 11:02 PM,,,,,AOC,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
