Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
EXECUTIVE OFFICER,EXECUTIVE OFFICER,NAGAR PANCHAYAT ERACH KE MOHALLA MALAHITOLA ME KALI MANDIR KE PAS 5000 LITRE PANI KI TANKI STHAPNA KA KARY,NAGAR PANCHAYAT ERACH KE MOHALLA MALAHITOLA ME KALI MANDIR KE PAS 5000 LITRE PANI KI TANKI STHAPNA KA KARY,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,WORK,284302.0,NA ,NA ,NA ,NAGAR PANCHAYAT ERACH,No ,No,"12,000",No,fixed,,EO,NP ERACH,1,DD - Demand Draft,13-Feb-2026 12:00 PM,21-Feb-2026 12:00 PM,13-Feb-2026 12:00 PM,20-Feb-2026 05:00 PM,NA ,NA ,13-Feb-2026 05:00 PM,20-Feb-2026 05:00 PM,21-Feb-2026 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIC,600.0,EO,NP ERACH,No,Directorate of Local Bodies UP||Nagar Panchayat Earich Jhansi,203/NPERACH/15VIT/TANKI2-13-26,2026_DOLBU_1115609_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,executive officer,Internal,executive officer,Ajay Kumar Yadav,21-Feb-2026 12:43 PM,21-Feb-2026 01:00 PM,techsummary_2070340.pdf (602.89 KB),Finance,Admitted,Ajay Kumar Yadav,21-Feb-2026 01:25 PM,finance_2070340.pdf,BOQ Comparative Chart,executive officer,Internal,executive officer,Ajay Kumar Yadav,21-Feb-2026 02:03 PM,finsummary_2070340.pdf (576.80 KB),Technical,admitted,Dharmendra Kumar,21-Feb-2026 12:35 PM,technical_2070340.pdf,1.0,5897553.0,MANYA CONSTRUCTION COMPANY,19-Feb-2026 04:22 PM,Rejected-AOC,REJECT,21-Feb-2026 02:23 PM,Directorate of Local Bodies UP||Nagar Panchayat Earich Jhansi,2026_DOLBU_1115609_1,203/NPERACH/15VIT/TANKI2-13-26,NAGAR PANCHAYAT ERACH KE MOHALLA MALAHITOLA ME KALI MANDIR KE PAS 5000 LITRE PANI KI TANKI STHAPNA KA KARY,1.0,5900428.0,M/S SENGAR ENTERPRISES,INR,"475,342.35",21-Feb-2026,"INR 475,342.35",90.0,Ajay Kumar Yadav,21-Feb-2026 02:23 PM,malahitolakali.pdf (577.00 KB),WORK ORDER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5900428.0,M/S SENGAR ENTERPRISES,20-Feb-2026 08:28 AM,Accepted-AOC,AWARDED,21-Feb-2026 02:23 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5899107.0,M/S SHIVA CONSTRUCTION,19-Feb-2026 09:32 PM,Rejected-AOC,REJECT,21-Feb-2026 02:23 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
