Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,Fee/PreQual/Technical,.pdf,Technical bid document,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",Gramsabha Chahalwa me Dhanudhar Veer Eklavya Nishad Chaman Chauraha par smiriti duwar_24,Gramsabha Chahalwa me Dhanudhar Veer Eklavya Nishad Chaman Chauraha par smiriti duwar_24,Please refer Tender documents. ,NA ,"8,91,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1006/RED/Etender(26)/2025-26, Dt. 22.12.2025",2026_REDUP_1104830_24,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,788.0,Nil,Nil,No,10-Jan-2026 12:00 PM,21-Jan-2026 12:30 PM,10-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,NA ,NA ,10-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,24-Jan-2026 12:00 PM,"17,900",No,fixed,,Nil,Nil,AOC,1.0,5813801.0,Wallfort International Service Private Ltd,INR,"1,050,518.02",Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,24-Jan-2026 05:28 PM,finsummary_2038444.pdf (45.50 KB),Finance,Financial bid open,Sujit Kumar Sinha,24-Jan-2026 03:57 PM,finance_2038444.pdf,BOQ Comparative Chart,1,5811373,M/s Vaishnavi Construction,20-Jan-2026 04:10 PM,Rejected-Finance,High,24-Jan-2026 05:28 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1104830_24,"1006/RED/Etender(26)/2025-26, Dt. 22.12.2025",Gramsabha Chahalwa me Dhanudhar Veer Eklavya Nishad Chaman Chauraha par smiriti duwar_24,28-Jan-2026,"INR 1,050,518.02",180.0,Sujit Kumar Sinha,06-Feb-2026 04:23 PM,24.pdf (45.00 KB),Technical,Technical bid open,Sujit Kumar Sinha,21-Jan-2026 03:20 PM,technical_2038444.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,23-Jan-2026 03:45 PM,24-Jan-2026 12:00 PM,techsummary_2038444.pdf (391.88 KB),AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5813801,Wallfort International Service Private Ltd,20-Jan-2026 05:06 PM,Accepted-AOC,AOC,06-Feb-2026 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
