S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1,5914934,BUNDELKHAND CONSTRUCTION,23-Feb-2026 01:18 PM,Rejected-AOC,No,28-Feb-2026 02:19 PM,1.0,5912938.0,M/S RAM BAHADUR GAUTAM THEKEDAR,INR,"3,306,299.6",Directorate of Local Bodies UP||Nagar Palika Parishad Jalaun Jalaun,2026_DOLBU_1109092_1,1671/15va vitt ayog/2 Pratishat Stamp Sulk/nirman vibhag/2025-26/Date 23.01.2026,Work no. 7,28-Feb-2026,"INR 3,306,299.6",180.0,Sushil Kumar Dohare,28-Feb-2026 02:18 PM,15vaviific.pdf (4281.00 KB),Bid approved,E O Sushil Kumar Dohare,Internal,"J E Praveen kumar, H C Ravindra Saluja, A C Anil kumar, PWC Kamlesh kumar",Sushil Kumar Dohare,28-Feb-2026 11:35 AM,finsummary_2047892.pdf (4281.20 KB),Technical,All bid admitted,Sushil Kumar Dohare,25-Feb-2026 04:58 PM,technical_2047892.pdf,E O Sushil Kumar Dohare,Internal,"J E Praveen kumar, H C Ravindra Saluja, A C Anil kumar, PWC Kamlesh kumar",Sushil Kumar Dohare,25-Feb-2026 05:16 PM,27-Feb-2026 04:00 PM,techsummary_2047892.pdf (1864.97 KB),Finance,All bid admitted,Sushil Kumar Dohare,28-Feb-2026 12:33 PM,finance_2047892.pdf,BOQ Comparative Chart,AOC,Directorate of Local Bodies UP||Nagar Palika Parishad Jalaun Jalaun,1671/15va vitt ayog/2 Pratishat Stamp Sulk/nirman vibhag/2025-26/Date 23.01.2026,2026_DOLBU_1109092_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,RTGS - RTGS Payment,Executive Officer,NPP JALAUN,"4,278",Executive Officer,NPP JALAUN,No,Work no. 7,Construction work of RCC drain from Maila Ground on the left side of Launa Road in Ward No. 17 Mohalla Naya Khanderao to Anoop Shuklas house.,Please refer Tender documents. ,NA ,"33,37,000",Civil Works,NA ,Tender,21.0,180.0,Jalaun,285123.0,NA ,NA ,NA ,NPP JALAUN,No ,No,"3,33,700",No,percentage,10.0%,Executive Officer,NPP JALAUN,1.0,1790/Tender/Nirman vibhag/Date 16-02-2026,Date,,24-Jan-2026 04:00 PM,24-Feb-2026 12:00 PM,24-Jan-2026 04:00 PM,23-Feb-2026 05:00 PM,NA ,NA ,24-Jan-2026 04:00 PM,23-Feb-2026 05:00 PM,27-Feb-2026 04:00 PM,AOC
2,5912938,M/S RAM BAHADUR GAUTAM THEKEDAR,22-Feb-2026 09:51 PM,Accepted-AOC,Yes,28-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,5916077,yogendra pratap singh contractor,23-Feb-2026 12:48 PM,Rejected-AOC,No,28-Feb-2026 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
