Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,EE PD GHAZIPUR,1.0,SBI Bank,17-Jan-2026 12:00 PM,23-Jan-2026 12:30 PM,17-Jan-2026 12:00 PM,23-Jan-2026 12:00 PM,NA ,NA ,17-Jan-2026 12:00 PM,23-Jan-2026 12:00 PM,28-Jan-2026 05:00 PM,"1,35,000",Yes,fixed,,Nil,Nil,856.0,Nil,Nil,No,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Ghazipur",157/10 Lekha dt.16.01.2026,2026_CEUVZ_1106860_6,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,tech,SR of Baghol Link Road including 300m CC in Abadi portion,SR of Baghol Link Road including 300m CC in Abadi portion,Please refer Tender documents. ,NA ,"13,50,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Ghazipur,233001.0,NA ,NA ,NA ,EE PD GHAZIPUR,No ,No,AOC,BRINDAVAN LAL GAUTAM,Internal,admitted,Brindavan Lal Gautam,30-Jan-2026 11:34 AM,finsummary_2042247.pdf (24.95 KB),Technical,admitted,Brindavan Lal Gautam,28-Jan-2026 03:02 PM,,BRINDAVAN LAL GAUTAM,Internal,kiran pal,Brindavan Lal Gautam,28-Jan-2026 04:45 PM,28-Jan-2026 05:00 PM,techsummary_2042247.pdf (270.69 KB),Finance,admitted,Brindavan Lal Gautam,30-Jan-2026 11:29 AM,,BOQ Comparative Chart,1,5817396,M/S PD ENTERPRISES,23-Jan-2026 11:57 AM,Rejected-Finance,Not Qualified AOC,30-Jan-2026 11:34 AM,1.0,5820080.0,SAI TRADERS,INR,"976,734","Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Ghazipur",2026_CEUVZ_1106860_6,157/10 Lekha dt.16.01.2026,SR of Baghol Link Road including 300m CC in Abadi portion,13-Feb-2026,"INR 976,734",60.0,Brindavan Lal Gautam,13-Feb-2026 04:59 PM,112Baghol.pdf (1183.00 KB),112/ee/25-26 dt. 04.02.2026,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5820080,SAI TRADERS,23-Jan-2026 11:03 AM,Accepted-AOC,112/ee/25-26 dt. 04.02.2026,13-Feb-2026 04:59 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5819004,S S CONSTRUCTION,22-Jan-2026 02:09 PM,Rejected-Finance,Not Qualified AOC,30-Jan-2026 11:34 AM,,,,,,,,,,,,,,,,,AOC
