Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1108001_1,2036 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 20-01-2026,Construction of CC Road work at Nagra Baudihar Chhotelal Ks Chak Se Dachhin Khandja Marg Tak Block Bankati Distt Basti. (Sansad Nidhi Basti),1.0,5825997.0,SURYANSH ASSOCIATE,INR,"1,054,868",1,5826011,M/S BANSHI DHAR PANDEY,27-Jan-2026 09:07 AM,Rejected-Finance,L2,13-Feb-2026 03:55 PM,18-Feb-2026,"INR 1,054,868",90.0,Ramesh Bahadur Shahi,18-Feb-2026 05:23 PM,8HahuwaRaipur.pdf (865.00 KB),M/s Suryansh Associate Found L1,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,10-Feb-2026 07:47 PM,11-Feb-2026 09:00 AM,techsummary_2045186.pdf (382.38 KB),Finance,M/s SURYANSH ASSOCIATE Found L1,Ramesh Bahadur Shahi,13-Feb-2026 03:52 PM,finance_2045186.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,13-Feb-2026 03:55 PM,finsummary_2045186.pdf (700.46 KB),Technical,M/s SURYANSH ASSOCIATE and M/S BANSHI DHAR PANDEY Found,Ramesh Bahadur Shahi,10-Feb-2026 07:46 PM,technical_2045186.pdf,AOC,1,Fee/PreQual/Technical,.pdf,NIT,21-Jan-2026 09:00 AM,28-Jan-2026 02:00 PM,21-Jan-2026 09:00 AM,28-Jan-2026 01:00 PM,21-Jan-2026 09:00 AM ,28-Jan-2026 01:00 PM ,21-Jan-2026 09:00 AM,28-Jan-2026 01:00 PM,11-Feb-2026 09:00 AM,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti","1,652",UPSCIDCO,BASTI,No,Construction of CC Road work at Nagra Baudihar Chhotelal Ks Chak Se Dachhin Khandja Marg Tak Block Bankati Distt Basti. (Sansad Nidhi Basti),Construction of CC Road work at Nagra Baudihar Chhotelal Ks Chak Se Dachhin Khandja Marg Tak Block Bankati Distt Basti. (Sansad Nidhi Basti),As Given in NIT ,NA ,"10,55,924",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",24-Jan-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,1,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2036 /EE Basti /E-Tender /sansad Nidhi Basti /2025-26 Dated 20-01-2026,2026_SCIDC_1108001_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"21,500",No,fixed,,UPSCIDCO,BASTI,AOC
,,,,,,,,,2,5825997,SURYANSH ASSOCIATE,27-Jan-2026 08:57 AM,Accepted-AOC,L1,18-Feb-2026 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,AOC
