S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,5798007.0,MOHD USMAN,INR,"847,045.81",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1104942_1,029/E.E./BJR/NIDHI/2025-26 Dt. 09-01-2026,"Construction work of 86.00 m CC road and drain from the house of Suraj Singh S/O Ramcharan Singh towards the houses of Jaipal Singh and Ashok Kumar S/O Dharampal Singh, village Bhawanipur Gaddon, DISTRICT- BIJNOR.(NIDHI WORK)",1.0,5798007.0,MOHD USMAN,11-Jan-2026 09:59 AM,Accepted-AOC,AMOUNT IS LOWEST,06-Feb-2026 01:57 PM,19-Jan-2026,"INR 847,045.81",60.0,Avdhesh kumar Verma,06-Feb-2026 01:57 PM,29nit44WO.pdf (272.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,17-Jan-2026 05:33 PM,finsummary_2038688.pdf (710.64 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,17-Jan-2026 02:22 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,17-Jan-2026 02:30 PM,17-Jan-2026 02:35 PM,techsummary_2038688.pdf (1024.00 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,17-Jan-2026 05:27 PM,,BOQ Comparative Chart,AOC,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,"17,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,"Construction work of 86.00 m CC road and drain from the house of Suraj Singh S/O Ramcharan Singh towards the houses of Jaipal Singh and Ashok Kumar S/O Dharampal Singh, village Bhawanipur Gaddon, DISTRICT- BIJNOR.(NIDHI WORK)","Construction work of 86.00 m CC road and drain from the house of Suraj Singh S/O Ramcharan Singh towards the houses of Jaipal Singh and Ashok Kumar S/O Dharampal Singh, village Bhawanipur Gaddon, DISTRICT- BIJNOR.(NIDHI WORK)",Please refer Tender documents. ,NA ,"8,47,300",Civil Works - Roads,NA ,Tender,60.0,60.0,BIJNOR,246725.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,1,Fee,.pdf,FEE,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,029/E.E./BJR/NIDHI/2025-26 Dt. 09-01-2026,2026_SCIDC_1104942_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,09-Jan-2026 02:00 PM,16-Jan-2026 11:00 AM,09-Jan-2026 02:00 PM,16-Jan-2026 10:00 AM,NA ,NA ,09-Jan-2026 02:00 PM,16-Jan-2026 10:00 AM,17-Jan-2026 02:35 PM,"E.E., UPSCIDCO, BIJNOR","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",AOC
,,,,,,,,,2.0,5802476.0,SAMEER ENTERPRISES,13-Jan-2026 07:55 PM,Rejected-Finance,AMOUNT IS HIGH,17-Jan-2026 05:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
