S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,5816640.0,LUCKY BROTHERS GROUP,20-Jan-2026 05:09 PM,Accepted-AOC,AMOUNT IS LOWEST,11-Feb-2026 01:32 PM,1.0,5816640.0,LUCKY BROTHERS GROUP,INR,"644,416.63",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1106268_1,084/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,"struction work of 65.00 meter CC tiles road and drain from Chamunda place towards Balwant ji house in village Patharkheda alias Shivnagar, Block-Thakurdwara, District Moradabad. (MLA-Nidhi Work)",29-Jan-2026,"INR 644,416.63",60.0,Avdhesh kumar Verma,11-Feb-2026 01:32 PM,084NIT0123WOMBD.pdf (518.00 KB),LOI OF WORK,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,28-Jan-2026 11:19 AM,finsummary_2041034.pdf (640.97 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,23-Jan-2026 12:54 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,23-Jan-2026 01:19 PM,23-Jan-2026 01:20 PM,techsummary_2041034.pdf (844.53 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,28-Jan-2026 10:29 AM,,BOQ Comparative Chart,AOC,1.0,FDR - Fixed Deposit,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,084/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,2026_SCIDC_1106268_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,"1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,Fee,.pdf,FEE,"13,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",14-Jan-2026 03:00 PM,21-Jan-2026 11:00 AM,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,NA ,NA ,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,23-Jan-2026 01:20 PM,"struction work of 65.00 meter CC tiles road and drain from Chamunda place towards Balwant ji house in village Patharkheda alias Shivnagar, Block-Thakurdwara, District Moradabad. (MLA-Nidhi Work)","struction work of 65.00 meter CC tiles road and drain from Chamunda place towards Balwant ji house in village Patharkheda alias Shivnagar, Block-Thakurdwara, District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"6,44,739",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,AOC
2.0,5815550.0,M/S A.H CONSTRUCTION AND DEVLOPERS,20-Jan-2026 08:23 AM,Rejected-Finance,AMOUNT IS HIGH,28-Jan-2026 11:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NOTICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
