Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
02-Feb-2026,"INR 225,297.26",180.0,Sujit Kumar Sinha,04-Feb-2026 04:46 PM,Document2.pdf (26.00 KB),Technical,Technical bid open,Sujit Kumar Sinha,26-Jan-2026 02:19 PM,technical_2037220.pdf,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,28-Jan-2026 04:20 PM,29-Jan-2026 12:00 PM,techsummary_2037220.pdf (399.17 KB),1.0,5806331.0,M/s Vikram Jaiswal,INR,"225,297.26",Finance,Financial bid open,Sujit Kumar Sinha,29-Jan-2026 02:28 PM,finance_2037220.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,29-Jan-2026 04:30 PM,finsummary_2037220.pdf (44.25 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1104326_14,"897/RED/Etender(25)/2025-26, Dt. 18.12.2025",G.P. Chandwapur ke majra Kalwaranpurwa me Anoop Tiwari ke ghar ke paas Highmast Light sthapna nirman karya-Payagpur_14,1,5806312,M/S TEJ CONSTRUCTIONS,23-Jan-2026 06:03 PM,Rejected-Finance,High,29-Jan-2026 04:30 PM,AOC,07-Jan-2026 02:00 PM,24-Jan-2026 12:30 PM,07-Jan-2026 02:00 PM,24-Jan-2026 12:00 PM,NA ,NA ,07-Jan-2026 02:00 PM,24-Jan-2026 12:00 PM,29-Jan-2026 12:00 PM,1.0,Dage Corrigendum,Date,,G.P. Chandwapur ke majra Kalwaranpurwa me Anoop Tiwari ke ghar ke paas Highmast Light sthapna nirman karya-Payagpur_14,G.P. Chandwapur ke majra Kalwaranpurwa me Anoop Tiwari ke ghar ke paas Highmast Light sthapna nirman karya-Payagpur_14,Please refer Tender documents. ,NA ,"1,91,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,1.0,SBI Bank,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich","3,900",No,fixed,,Nil,Nil,596.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"897/RED/Etender(25)/2025-26, Dt. 18.12.2025",2026_REDUP_1104326_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical bid document,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5806331,M/s Vikram Jaiswal,20-Jan-2026 11:17 PM,Accepted-AOC,AOC,04-Feb-2026 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
