S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,SBI Bank,17-Jan-2026 02:00 PM,28-Jan-2026 03:30 PM,17-Jan-2026 02:00 PM,28-Jan-2026 02:30 PM,17-Jan-2026 02:00 PM ,28-Jan-2026 12:00 PM ,17-Jan-2026 02:00 PM,28-Jan-2026 02:30 PM,07-Feb-2026 03:00 PM,Excutive Engineer,"GDA Office, Taramandal, Gorakhpur.",Gorakhpur Development Authority,35/GDA/2025-26/06012026,2026_GORDA_1106915_1,Yes,Open Limited,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"5,900",Nil,Nil,No,"R.K.B.K. Work of raising the height of retaining wall, drain, air wall chamber and manhole along the Tal Ring Road up to Sahara Estate.",Please refer Tender documents.,Please refer Tender documents. ,NA ,"11,32,79,308",Civil Works,NA ,Tender,90.0,270.0,"Near RKBK, Gorakhpur.",273001.0,NA ,NA ,NA ,GDA Office,No ,No,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"56,64,500",No,fixed,,Nil,Nil,AOC,Finance,Admitted,Kishan Singh,20-Feb-2026 04:01 PM,finance_2042400.pdf,BOQ Comparative Chart,Pushp Raj Singh,Internal,"Santosh Kumar Kushwaha CFAO, Kishan Singh SE",Kishan Singh,06-Feb-2026 01:50 PM,07-Feb-2026 03:00 PM,techsummary_2042400.pdf (209.71 KB),Technical,Admitted,Kishan Singh,06-Feb-2026 01:46 PM,technical_2042400.pdf,Pushp Raj Singh,Internal,"Santosh Kumar Kushwaha CFAO, Kishan Singh SE",Kishan Singh,20-Feb-2026 04:07 PM,finsummary_2042400.pdf (218.01 KB),20-Feb-2026,"INR 133,308,675.85",270.0,Kishan Singh,20-Feb-2026 04:15 PM,img20260220_0006.pdf (254.00 KB),Quoted amount 112973454.11 GST 18 Percent 20335221.74 Total 133308675.85,1,5811579,K.K.Construction And Builders,27-Jan-2026 09:32 PM,Accepted-AOC,Qualified,20-Feb-2026 04:15 PM,Gorakhpur Development Authority,2026_GORDA_1106915_1,35/GDA/2025-26/06012026,"R.K.B.K. Work of raising the height of retaining wall, drain, air wall chamber and manhole along the Tal Ring Road up to Sahara Estate.",1.0,5811579.0,K.K.Construction And Builders,INR,"133,308,675.85",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5827880,M/s Jeet Associates,28-Jan-2026 12:04 PM,Rejected-Finance,High Amount Quoted,20-Feb-2026 04:07 PM,,,,,,,,,,AOC
