Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,23-Jan-2026 03:28 PM,24-Jan-2026 12:00 PM,techsummary_2038406.pdf (395.25 KB),Technical,Technical bid open,Sujit Kumar Sinha,21-Jan-2026 01:34 PM,technical_2038406.pdf,28-Jan-2026,"INR 235,863.72",180.0,Sujit Kumar Sinha,05-Feb-2026 06:17 PM,Document2.pdf (26.00 KB),1,5816209,M/S SHRI BALAJI CONSTRUCTIONS,20-Jan-2026 11:14 PM,Accepted-AOC,AOC,05-Feb-2026 06:17 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1104830_14,"1006/RED/Etender(26)/2025-26, Dt. 22.12.2025",Gramsabha Kurwa Tepra Harsh Ram Lohar ke ghar ke paas 01 adad Highmask Light ke sthapna_14,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,24-Jan-2026 05:10 PM,finsummary_2038406.pdf (44.10 KB),Finance,Financial bid open,Sujit Kumar Sinha,24-Jan-2026 03:36 PM,finance_2038406.pdf,BOQ Comparative Chart,1.0,5816209.0,M/S SHRI BALAJI CONSTRUCTIONS,INR,"235,863.72",AOC,1,Fee/PreQual/Technical,.pdf,Technical bid document,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",Gramsabha Kurwa Tepra Harsh Ram Lohar ke ghar ke paas 01 adad Highmask Light ke sthapna_14,Gramsabha Kurwa Tepra Harsh Ram Lohar ke ghar ke paas 01 adad Highmask Light ke sthapna_14,Please refer Tender documents. ,NA ,"2,00,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,10-Jan-2026 12:00 PM,21-Jan-2026 12:30 PM,10-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,NA ,NA ,10-Jan-2026 12:00 PM,21-Jan-2026 12:00 PM,24-Jan-2026 12:00 PM,596.0,Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1006/RED/Etender(26)/2025-26, Dt. 22.12.2025",2026_REDUP_1104830_14,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"4,000",No,fixed,,Nil,Nil,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,2,5816117,SAROJNI DEVI,20-Jan-2026 09:59 PM,Rejected-Finance,High,24-Jan-2026 05:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
