Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2193/EE/RED/14-01-2026,2026_REDUP_1108825_8,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,677.0,Nil,Nil,No,24-Jan-2026 10:00 AM,30-Jan-2026 12:30 PM,24-Jan-2026 10:00 AM,30-Jan-2026 12:00 PM,NA ,NA ,24-Jan-2026 10:00 AM,30-Jan-2026 12:00 PM,03-Feb-2026 10:00 AM,Executive engineer,E.E.RED OFFICE VIKAS BHAWAN MAINPURI,"Const. of Room in Shri Mulayam Singh Yadav Inter Collage in vill. Sauj, Mainpuri.","Const. of Room in Shri Mulayam Singh Yadav Inter Collage in vill. Sauj, Mainpuri.",Please refer Tender documents. ,NA ,"5,77,077",Civil Works - Buildings,NA ,Tender,90.0,120.0,mainpuri,205001.0,NA ,NA ,NA ,E.E.RED OFFICE VIKAS BHAWAN MAINPURI,No ,No,1,Fee/PreQual/Technical,.pdf,Technical bid,"12,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC,Er.Nuzhat parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,03-Feb-2026 10:29 AM,finsummary_2047521.pdf (293.22 KB),Technical,Technical bid,Nuzahat Parveen,30-Jan-2026 01:14 PM,,Er.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,30-Jan-2026 03:50 PM,03-Feb-2026 10:00 AM,techsummary_2047521.pdf (293.96 KB),Finance,all bids admitted,Nuzahat Parveen,03-Feb-2026 10:26 AM,,BOQ Comparative Chart,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1108825_8,2193/EE/RED/14-01-2026,"Const. of Room in Shri Mulayam Singh Yadav Inter Collage in vill. Sauj, Mainpuri.",1.0,5827078.0,M/s HUKAM SHREE CONTRACTOR,INR,"576,500.3",1,5827078,M/s HUKAM SHREE CONTRACTOR,29-Jan-2026 04:15 PM,Accepted-AOC,L-1,12-Feb-2026 01:24 PM,10-Feb-2026,"INR 576,500.3",120.0,Nuzahat Parveen,12-Feb-2026 01:24 PM,BAMTA_0001.pdf (374.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5831450,M/S Sarvesh Kumar,29-Jan-2026 04:31 PM,Rejected-Finance,L-2,03-Feb-2026 10:29 AM,,,,,,,AOC
