Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,56/MLA/MAINPURI/25-26,2026_SCIDC_1112175_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,04-Feb-2026 12:00 PM,10-Feb-2026 01:00 PM,04-Feb-2026 12:00 PM,10-Feb-2026 12:00 PM,NA ,NA ,04-Feb-2026 12:00 PM,10-Feb-2026 12:00 PM,12-Feb-2026 02:05 PM,Executive engineer,"Ex. En. Office H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikandra, Agra.","1,652",UPSCIDCO,MAINPURI,No,"34,000",No,fixed,,UPSCIDCO,MAINPURI,1.0,Fee/PreQual/Technical,.pdf,NIT,"CONSTRUCTION OF TIN SHED AT AMIT VAESHYA MEMORIAL PUBLIC SCHOOL, NEAR BHIMSEN MANDIR, MOHALLA GARHIWAN, MAINPURI.","CONSTRUCTION OF TIN SHED AT AMIT VAESHYA MEMORIAL PUBLIC SCHOOL, NEAR BHIMSEN MANDIR, MOHALLA GARHIWAN, MAINPURI.",Please refer Tender documents. ,NA ,"16,93,000",Civil Works,NA ,Tender,180.0,180.0,sikandra agra,282007.0,NA ,NA ,NA ,"H.No.-128, Paschimpuri, Near Pani Ki Tanki, Sikand",No ,No,1.0,RTGS - RTGS Payment,AOC,Finance,Rate of M/S VINAY KUMAR SINGH CONTRACTOR is accepted.,Sanjai Gangwar,13-Feb-2026 12:10 PM,finance_2056862.pdf,BOQ Comparative Chart,Executive Engineer,Internal,,Sanjai Gangwar,12-Feb-2026 02:03 PM,12-Feb-2026 02:05 PM,techsummary_2056862.pdf (471.63 KB),Technical,All bids are ok.,Sanjai Gangwar,12-Feb-2026 02:02 PM,technical_2056862.pdf,Executive Engineer,Internal,,Sanjai Gangwar,13-Feb-2026 12:14 PM,finsummary_2056862.pdf (946.30 KB),13-Feb-2026,"INR 1,693,298.57",180.0,Sanjai Gangwar,13-Feb-2026 12:18 PM,fr56.pdf (946.00 KB),1,5850240,m/s kamal mishra,26-May-2026 11:17 AM,Rejected-AOC,ok,13-Feb-2026 12:18 PM,1.0,5845470.0,M/S VINAY KUMAR SINGH CONTRACTOR,INR,"1,693,298.57",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Mathura,2026_SCIDC_1112175_1,56/MLA/MAINPURI/25-26,"CONSTRUCTION OF TIN SHED AT AMIT VAESHYA MEMORIAL PUBLIC SCHOOL, NEAR BHIMSEN MANDIR, MOHALLA GARHIWAN, MAINPURI.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5845470,M/S VINAY KUMAR SINGH CONTRACTOR,05-Feb-2026 06:36 PM,Accepted-AOC,ok,13-Feb-2026 12:18 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5851847,YASH CONSTRUCTION,08-Feb-2026 11:48 AM,Rejected-AOC,ok,13-Feb-2026 12:18 PM,,,,,,,,,,AOC
