Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"Construction of 70.00 meter interlocking tiles road and drain from Nasir house to Jitendra Jatav house in village Navada, Block-Dilari, District Moradabad. (MLA-Nidhi Work)","Construction of 70.00 meter interlocking tiles road and drain from Nasir house to Jitendra Jatav house in village Navada, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"4,46,277",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,826.0,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1,Fee,.pdf,FEE,1.0,FDR - Fixed Deposit,"9,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,080/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,2026_SCIDC_1106221_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD",14-Jan-2026 03:00 PM,21-Jan-2026 11:00 AM,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,NA ,NA ,14-Jan-2026 03:00 PM,21-Jan-2026 10:00 AM,23-Jan-2026 01:15 PM,AOC,Finance,FINANCIAL REPORT,Avdhesh kumar Verma,28-Jan-2026 10:27 AM,,BOQ Comparative Chart,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,23-Jan-2026 01:14 PM,23-Jan-2026 01:15 PM,techsummary_2040954.pdf (846.30 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,23-Jan-2026 12:51 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,28-Jan-2026 10:58 AM,finsummary_2040954.pdf (630.51 KB),29-Jan-2026,"INR 446,053.86",60.0,Avdhesh kumar Verma,11-Feb-2026 11:10 AM,080NIT0119WOMBD.pdf (540.00 KB),LOI OF WORK,1.0,5816257.0,A TO Z CONSTRUCTION,INR,"446,053.86",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Etah,2026_SCIDC_1106221_1,080/EE/MBD/NIDHI/2024-25 Dt. 14-01-2026,"Construction of 70.00 meter interlocking tiles road and drain from Nasir house to Jitendra Jatav house in village Navada, Block-Dilari, District Moradabad. (MLA-Nidhi Work)",1.0,5816257.0,A TO Z CONSTRUCTION,20-Jan-2026 01:42 PM,Accepted-AOC,AMOUNT IS LOWEST,11-Feb-2026 11:10 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,TENDER NIT,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5815534.0,M/S A.H CONSTRUCTION AND DEVLOPERS,20-Jan-2026 10:24 PM,Rejected-Finance,AMOUNT IS HIGH,28-Jan-2026 10:58 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
