Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"6,770",Nil,Nil,No,06-Aug-2025 06:55 PM,21-Aug-2025 11:00 AM,06-Aug-2025 06:55 PM,19-Aug-2025 05:00 PM,NA ,NA ,06-Aug-2025 06:55 PM,19-Aug-2025 05:00 PM,26-Sep-2025 03:20 PM,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/397 DT-01/08/2025,2025_YEIDA_1062773_17,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Construction and Development of common infrastructure facility food court , Bank,Recereational area,Gym and public utilites in medical device park at sector 28 ,YEIDA.WC-04","Construction and Development of common infrastructure facility food court , Bank,Recereational area,Gym and public utilites in medical device park at sector 28 ,YEIDA.WC-04",Please refer Tender documents. ,NA ,"14,24,52,228",Civil Works,NA ,Tender,90.0,540.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,YEIDA OFFICE 2ND FLOOR E- TENDER CELL,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC","24,24,800",No,fixed,,Nil,Nil,AOC,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1062773_17,YEA/GM(PROJECT)/2025/397 DT-01/08/2025,"Construction and Development of common infrastructure facility food court , Bank,Recereational area,Gym and public utilites in medical device park at sector 28 ,YEIDA.WC-04",1,5457441,IQBAL CONSTRUCTION CO,19-Aug-2025 04:06 PM,Rejected-Finance,L4,10-Oct-2025 05:27 PM,Finance,UNDER EVALUATION,VIKAS KUMAR,10-Oct-2025 05:24 PM,,BOQ Comparative Chart,Committee,Internal,Committee,VIKAS KUMAR,10-Oct-2025 05:27 PM,finsummary_1937089.pdf (1847.17 KB),1.0,5449764.0,JAI SHIVA INFRA PROJECTS PRIVATE LIMITED,INR,"118,662,706.18",Technical,EVALUATION,BHARAM PAL SINGH,26-Sep-2025 03:09 PM,,10-Oct-2025,"INR 118,662,706.18",540.0,VIKAS KUMAR,11-Nov-2025 11:08 AM,js17.pdf (921.00 KB),AOC,Committee,Internal,Committee,BHARAM PAL SINGH,26-Sep-2025 03:15 PM,26-Sep-2025 03:20 PM,techsummary_1937089.pdf (663.63 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,AOC,,,,,2,5449764,JAI SHIVA INFRA PROJECTS PRIVATE LIMITED,19-Aug-2025 01:55 PM,Accepted-AOC,L1,11-Nov-2025 11:08 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,AOC,,,,,3,5451026,M/S D.K. Jain Contractors,19-Aug-2025 09:52 AM,Rejected-Finance,L5,10-Oct-2025 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,AOC,,,,,4,5457608,M/S SHUBHAM CONSTRUCTION,19-Aug-2025 02:37 PM,Rejected-Finance,L2,10-Oct-2025 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,AOC,,,,,5,5458849,M/s Sunil Kumar Jain,19-Aug-2025 03:03 PM,Rejected-Finance,L3,10-Oct-2025 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
