EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,50,000",No,fixed,,"Project Manager,(Unit-4)",Agra,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,11/GM-4/UPPCL/2025-26 Dated 22-05-2025,2025_UPPRC_1042673_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"DEVELOPMENT AND BEAUTIFICATION WORK OF RAMLEELA MAIDAN AT KOTLA, NARKHI IN DISTRICT -FIROZABAD (U.P.)","DEVELOPMENT AND BEAUTIFICATION WORK OF RAMLEELA MAIDAN AT KOTLA, NARKHI IN DISTRICT -FIROZABAD (U.P.)",Please refer Tender documents. ,NA ,"1,24,82,952",Civil Works - Buildings,NA ,Tender,90.0,365.0,Kotla Narkhi Firozabad,283206.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",26-May-2025 11:00 AM ,General Manager (Zone-4) Agra,No ,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,24-May-2025 05:45 PM,05-Jun-2025 03:00 PM,24-May-2025 05:45 PM,05-Jun-2025 02:00 PM,NA ,NA ,24-May-2025 05:45 PM,05-Jun-2025 02:00 PM,24-Jun-2025 12:00 PM,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra","17,700","Project Manager,(Unit-4)",Agra,No,1,FDR - Fixed Deposit,AOC,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Ram Kumar Project Manager Unit-4 Agra, Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,16-Jul-2026 05:59 PM,finsummary_1891906.pdf (70.32 KB),Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,23-Jun-2025 07:49 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Ram Kumar Project Manager Unit-4 Agra, Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,25-May-2026 05:59 PM,24-Jun-2025 12:00 PM,techsummary_1891906.pdf (2347.27 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,Ram Kumar,04-Jul-2025 12:35 PM,,BOQ Comparative Chart,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_1042673_3,11/GM-4/UPPCL/2025-26 Dated 22-05-2025,"DEVELOPMENT AND BEAUTIFICATION WORK OF RAMLEELA MAIDAN AT KOTLA, NARKHI IN DISTRICT -FIROZABAD (U.P.)",1.0,5234004.0,N P CONSTRUCTIONS,INR,"12,414,296.22",1,5235811,M/S MAA REHNA CONSTRUCTIONS,05-Jun-2025 11:53 AM,Rejected-Finance,Being Second Lowest,16-Jul-2025 02:37 PM,30-Jul-2025,"INR 12,414,296.22",365.0,RAJIV KUMAR PANDEY,13-Nov-2025 02:26 PM,AOC.pdf (44.00 KB),"Work Awarded to M/s N P Construction,",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5234004,N P CONSTRUCTIONS,04-Jun-2025 01:53 PM,Accepted-AOC,L1,13-Nov-2025 02:26 PM,,,,,,,,AOC
