S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,FDR - Fixed Deposit,18-Jan-2025 06:00 PM,30-Jan-2025 03:00 PM,18-Jan-2025 06:00 PM,30-Jan-2025 02:00 PM,NA ,NA ,18-Jan-2025 06:00 PM,30-Jan-2025 02:00 PM,06-Mar-2025 11:50 AM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,10/GM-4/UPPCL/2024-25 Dated 15-01-2025,2025_UPPRC_994870_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"TOURISM DEVELOPMENT WORK OF MAHAKALESHWAR TEMPLE BHADAN, IN DISTRICT - FIROZABAD (U.P.)","TOURISM DEVELOPMENT WORK OF MAHAKALESHWAR TEMPLE BHADAN, IN DISTRICT - FIROZABAD (U.P.)",Please refer Tender documents. ,NA ,"1,08,45,180",Miscellaneous Works,NA ,Tender,90.0,365.0,Bhadan Firozabad,283142.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",22-Jan-2025 11:00 AM ,General Manager (Zone-4) Agra,No ,No,"2,17,000",No,fixed,,"Project Manager,(Unit-4)",Agra,1.0,Fee/PreQual/Technical,.pdf,Bid Doc,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra","17,700","Project Manager,(Unit-4)",Agra,No,AOC,19-Mar-2025,"INR 10,750,827.62",365.0,RAJIV KUMAR PANDEY,13-Nov-2025 05:37 PM,AOC.pdf (44.00 KB),"Work Awarded to M/s Manoj Kumar Contractor,",1,4892071,Anchal Buildtech Private Limited,29-Jan-2025 06:38 PM,Not Admitted-Fee/PreQual/Technical,Others-Contractor Withdrow your Bid Regarding Ltr Dated 30-01-2025,04-Mar-2025 06:34 PM,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Ram Kumar Project Manager Unit-4 Agra, Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,05-Mar-2025 06:29 PM,06-Mar-2025 11:50 AM,techsummary_1761878.pdf (1851.35 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,07-Mar-2025 04:59 PM,,BOQ Comparative Chart,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_994870_3,10/GM-4/UPPCL/2024-25 Dated 15-01-2025,"TOURISM DEVELOPMENT WORK OF MAHAKALESHWAR TEMPLE BHADAN, IN DISTRICT - FIROZABAD (U.P.)",Technical,Four Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,04-Mar-2025 06:34 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Ram Kumar Project Manager Unit-4 Agra, Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,19-Mar-2025 07:39 PM,finsummary_1761878.pdf (71.41 KB),1.0,4894938.0,M/s MANOJ KUMAR CONTRACTOR,INR,"10,750,827.62",AOC
2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,AOC,,,,,,,,2,4893063,DNS ENGINEERS,29-Jan-2025 07:00 PM,Not Admitted-Fee/PreQual/Technical,Others-Contractor Withdrow your Bid Regarding Ltr Dated 30.01.2025,04-Mar-2025 06:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,4894938,M/s MANOJ KUMAR CONTRACTOR,30-Jan-2025 12:09 PM,Accepted-AOC,L1,13-Nov-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,4895042,VINIT KUMAR SINGH CONTRACTOR,30-Jan-2025 12:57 PM,Rejected-Finance,Being Second Lowest,19-Mar-2025 07:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
