Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_1029639_2,03/GM-4/UPPCL/2025-26 Dated 15-04-2025,RECONSTRUCTION OF BUS STATION MANT IN DISTRICT- MATHURA (U.P.),1.0,5242879.0,P N INFRAVENTURE PRIVATE LIMITED,INR,"12,140,801.49",1,5242866,AWADH MARAYAN UPADHAYAY,09-Jun-2025 08:59 PM,Rejected-Finance,Being Second Lowest,16-Jul-2025 03:21 PM,23-Jul-2025,"INR 12,140,801.49",365.0,RAJIV KUMAR PANDEY,13-Nov-2025 06:14 PM,AOC.pdf (44.00 KB),Work Awarded to M/s P N Infra venture Private Limited.,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-32 Aligarh",RAJIV KUMAR PANDEY,16-Jul-2025 03:21 PM,finsummary_1898173.pdf (71.13 KB),Technical,Four Bids Out of Four Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,26-Jun-2025 05:51 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Karmendra Kumar Agrawal General Manager Zone-6 Noida, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-32 Aligarh",RAJIV KUMAR PANDEY,26-Jun-2025 05:58 PM,27-Jun-2025 12:30 PM,techsummary_1898173.pdf (2153.76 KB),Finance,Three Financial Bids admitted for Financial Evaluation out of Three Bids,RAJIV KUMAR PANDEY,16-Jul-2025 02:19 PM,,BOQ Comparative Chart,AOC,03-Jun-2025 06:55 PM,10-Jun-2025 03:00 PM,03-Jun-2025 06:55 PM,10-Jun-2025 02:00 PM,NA ,NA ,03-Jun-2025 06:55 PM,10-Jun-2025 02:00 PM,27-Jun-2025 12:30 PM,RECONSTRUCTION OF BUS STATION MANT IN DISTRICT- MATHURA (U.P.),RECONSTRUCTION OF BUS STATION MANT IN DISTRICT- MATHURA (U.P.),Please refer Tender documents. ,NA ,"1,30,57,433",Civil Works - Buildings,NA ,Tender,90.0,365.0,Mant Mathura,281202.0,NA ,NA ,NA ,Office of General Manager (Zone-4) Agra,No ,No,General Manager (Zone-4) Agra,"H.No A-121, Sec-13, Avas Vikas Colony Sikandra, Agra (U.P)",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,03/GM-4/UPPCL/2025-26 Dated 15-04-2025,2025_UPPRC_1029639_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"2,62,000",No,fixed,,"Project Manager,(Unit-32)",Aligarh,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,Bid Doc,"17,700","Project Manager,(Unit-32)",Aligarh,No,AOC
,,,,,,,,,2,5243700,M/S PK ENTERPRISE,10-Jun-2025 01:11 PM,Rejected-Technical,All Required Document are not Complete,26-Jun-2025 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,2.0,Finance,.xls,Boq,,,,,AOC
,,,,,,,,,3,5243430,M/S SHUBHAM CONSTRUCTION,10-Jun-2025 11:18 AM,Rejected-Finance,Being Third Lowest,16-Jul-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5242879,P N INFRAVENTURE PRIVATE LIMITED,09-Jun-2025 09:06 PM,Accepted-AOC,L1,13-Nov-2025 06:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
