Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Committee,Internal,Committee,BHARAM PAL SINGH,09-Oct-2025 12:17 PM,09-Oct-2025 03:00 PM,techsummary_1950330.pdf (528.10 KB),14-Nov-2025,"INR 2,648,401.02",365.0,BHARAM PAL SINGH,26-Nov-2025 02:51 PM,aoc408_22.pdf (772.00 KB),AOC,Technical,EVALUATION,BHARAM PAL SINGH,09-Oct-2025 12:13 PM,,1.0,5517537.0,SHREE RAMSWAROOP ENTERPRISES,INR,"2,648,401.02",Finance,UNDER EVALUATION,VIKAS KUMAR,14-Nov-2025 03:47 PM,,BOQ Comparative Chart,Committee,Internal,Committee,VIKAS KUMAR,14-Nov-2025 04:27 PM,finsummary_1950330.pdf (282.40 KB),1,5520751,M/S G D ENTERPRISES,08-Sep-2025 04:57 PM,Rejected-Finance,L2,14-Nov-2025 04:27 PM,Yamuna Expressway Industrial Development Authority,2025_YEIDA_1068568_22,YEA/GM(PROJECT)/2025/408 DT-20/08/2025,Annual maintenance work of internal roads in sector-29(part B)YEA. WC- 04,AOC,Annual maintenance work of internal roads in sector-29(part B)YEA. WC- 04,Annual maintenance work of internal roads in sector-29(part B)YEA. WC- 04,Please refer Tender documents. ,NA ,"33,18,798",Civil Works,NA ,Tender,90.0,365.0,YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,201308.0,NA ,NA ,NA ,"2ND FLOOR ,YEIDA OFFICE",No ,No,1.0,SBI Bank,GM(P),YAMUNA EXPRESSWAY INDUSTRIAL DEVELOPMENT AUTHORITY,"66,500",No,fixed,,Nil,Nil,922.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",27-Aug-2025 06:55 PM,10-Sep-2025 11:00 AM,27-Aug-2025 06:55 PM,08-Sep-2025 05:00 PM,NA ,NA ,27-Aug-2025 06:55 PM,08-Sep-2025 05:00 PM,09-Oct-2025 03:00 PM,Yamuna Expressway Industrial Development Authority,YEA/GM(PROJECT)/2025/408 DT-20/08/2025,2025_YEIDA_1068568_22,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5520831,M/S Shokeen Construction,08-Sep-2025 11:46 AM,Rejected-Finance,L5,14-Nov-2025 04:27 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"TENDER FEE,EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5519348,M/S S M CONSTRUCTION,08-Sep-2025 04:04 PM,Rejected-Finance,L3,14-Nov-2025 04:27 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5520771,Shiva Construction,08-Sep-2025 12:25 PM,Rejected-Finance,L4,14-Nov-2025 04:27 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5517537,SHREE RAMSWAROOP ENTERPRISES,08-Sep-2025 04:19 PM,Accepted-AOC,L1,26-Nov-2025 02:51 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIALBID,,,,,,,,,,,,,,,,,,,,,,,,AOC
