Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2025_UPRNS_1032386_1,04/E-TENDER/MEERUT-ZONE/25-26 DATED 22-04-2025,CONSTRUCTION OF HOMEOPATHIC OFFICE AT JHALGAON DISTT- SHAMLI (U.P),1.0,5160493.0,AMITRAJ DEVELOPERS PRIVATE LIMITED,INR,"19,711,926.33",1,5160493,AMITRAJ DEVELOPERS PRIVATE LIMITED,01-May-2025 05:41 PM,Accepted-AOC,L-1,19-Nov-2025 01:03 PM,24-May-2025,"INR 19,711,926.33",547.0,Rakesh Kumar Chaurasia,19-Nov-2025 01:03 PM,WorkOrderHomeopathicShamliSREOfficeCopy.pdf (1148.00 KB),Tender Awarded,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,14-May-2025 06:41 PM,finsummary_1867906.pdf (258.42 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,14-May-2025 11:42 AM,technical_1867906.pdf,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Sandeep Kumar Indauria EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,14-May-2025 11:46 AM,14-May-2025 12:00 PM,techsummary_1867906.pdf (622.38 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,14-May-2025 06:37 PM,finance_1867906.pdf,BOQ Comparative Chart,AOC,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,04/E-TENDER/MEERUT-ZONE/25-26 DATED 22-04-2025,2025_UPRNS_1032386_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut",24-Apr-2025 06:45 PM,07-May-2025 02:00 PM,24-Apr-2025 06:45 PM,07-May-2025 02:00 PM,NA ,NA ,24-Apr-2025 06:45 PM,07-May-2025 02:00 PM,14-May-2025 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical,"2,596",EE UPRNSS,SAHARANPUR,No,"3,94,633",No,fixed,,EE UPRNSS,SAHARANPUR,1,FDR - Fixed Deposit,CONSTRUCTION OF HOMEOPATHIC OFFICE AT JHALGAON DISTT- SHAMLI (U.P),CONSTRUCTION OF HOMEOPATHIC OFFICE AT JHALGAON DISTT- SHAMLI (U.P),Please refer Tender documents. ,NA ,"1,97,31,658",Civil Works - Buildings,NA ,Tender,90.0,547.0,JHALGAON SHAMLI,247776.0,NA ,NA ,NA ,MEERUT,No ,No,AOC
,,,,,,,,,2,5160997,M/S PRADEEP KUMAR CONTRACTOR,01-May-2025 09:04 PM,Rejected-Finance,Quoted Rates Are Higher,14-May-2025 06:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,AOC
