Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"11,800","Project Manager,(Unit-4)",Agra,No,Tourism Devlopment work of Shiv vatika at Hussainpur in Distt. Firozabad (U.P),Tourism Devlopment work of Shiv vatika at Hussainpur in Distt. Firozabad (U.P),Please refer Tender documents. ,NA ,"93,70,531",Civil Works - Buildings,NA ,Tender,90.0,365.0,Hussainpur Firozabad,283205.0,Office of General Manager (Zone-4) Agra ,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra ",24-Feb-2025 11:00 AM ,General Manager (Zone-4) Agra,No ,No,1,Fee/PreQual/Technical,.pdf,Bid Doc,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,17/GM-4/UPPCL/2024-25 Dated 18-02-2025,2025_UPPRC_1009486_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,21-Feb-2025 04:00 PM,03-Mar-2025 03:00 PM,21-Feb-2025 04:00 PM,03-Mar-2025 02:00 PM,NA ,NA ,21-Feb-2025 04:00 PM,03-Mar-2025 02:00 PM,06-Mar-2025 11:55 AM,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra",1,FDR - Fixed Deposit,"1,88,000",No,fixed,,"Project Manager,(Unit-4)",Agra,AOC,Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,05-Mar-2025 08:32 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Ram Kumar Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,08-Mar-2025 05:12 PM,finsummary_1810185.pdf (70.46 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,07-Mar-2025 04:54 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Ram Kumar Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Deependra Pratap Singh Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,05-Mar-2025 08:39 PM,06-Mar-2025 11:55 AM,techsummary_1810185.pdf (1347.19 KB),24-Mar-2025,"INR 9,294,629.88",365.0,RAJIV KUMAR PANDEY,13-Nov-2025 05:26 PM,AOC.pdf (44.00 KB),"Work Awarded to M/s H.K. Builders,",1,5011605,M/S H. K. BUILDERS,02-Mar-2025 05:37 PM,Accepted-AOC,L1,13-Nov-2025 05:26 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2025_UPPRC_1009486_2,17/GM-4/UPPCL/2024-25 Dated 18-02-2025,Tourism Devlopment work of Shiv vatika at Hussainpur in Distt. Firozabad (U.P),1.0,5011605.0,M/S H. K. BUILDERS,INR,"9,294,629.88",AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5012712,M/S SHRI SHYAMJI BUILDERS,03-Mar-2025 09:36 AM,Rejected-Finance,Being Second Lowest,08-Mar-2025 05:12 PM,,,,,,,,,,AOC
